 # done by Task#3 of TABOO on 2017.02.06 time=15.50.26
# Time BP (kyrs) =     0.0000
# Load Mass (kg) =    0.000000E+00
# --------------------------------------------
#      lon (deg)      lat (deg)      geoid (m)
# --------------------------------------------
        1.00000       89.00000       -0.10093
        3.00000       89.00000       -0.10159
        5.00000       89.00000       -0.10223
        7.00000       89.00000       -0.10286
        9.00000       89.00000       -0.10347
       11.00000       89.00000       -0.10406
       13.00000       89.00000       -0.10463
       15.00000       89.00000       -0.10518
       17.00000       89.00000       -0.10572
       19.00000       89.00000       -0.10624
       21.00000       89.00000       -0.10674
       23.00000       89.00000       -0.10722
       25.00000       89.00000       -0.10768
       27.00000       89.00000       -0.10812
       29.00000       89.00000       -0.10855
       31.00000       89.00000       -0.10895
       33.00000       89.00000       -0.10934
       35.00000       89.00000       -0.10972
       37.00000       89.00000       -0.11007
       39.00000       89.00000       -0.11041
       41.00000       89.00000       -0.11073
       43.00000       89.00000       -0.11104
       45.00000       89.00000       -0.11133
       47.00000       89.00000       -0.11160
       49.00000       89.00000       -0.11186
       51.00000       89.00000       -0.11210
       53.00000       89.00000       -0.11233
       55.00000       89.00000       -0.11254
       57.00000       89.00000       -0.11274
       59.00000       89.00000       -0.11292
       61.00000       89.00000       -0.11309
       63.00000       89.00000       -0.11325
       65.00000       89.00000       -0.11339
       67.00000       89.00000       -0.11352
       69.00000       89.00000       -0.11364
       71.00000       89.00000       -0.11374
       73.00000       89.00000       -0.11383
       75.00000       89.00000       -0.11391
       77.00000       89.00000       -0.11398
       79.00000       89.00000       -0.11403
       81.00000       89.00000       -0.11407
       83.00000       89.00000       -0.11410
       85.00000       89.00000       -0.11412
       87.00000       89.00000       -0.11413
       89.00000       89.00000       -0.11412
       91.00000       89.00000       -0.11410
       93.00000       89.00000       -0.11408
       95.00000       89.00000       -0.11403
       97.00000       89.00000       -0.11398
       99.00000       89.00000       -0.11392
      101.00000       89.00000       -0.11384
      103.00000       89.00000       -0.11375
      105.00000       89.00000       -0.11365
      107.00000       89.00000       -0.11354
      109.00000       89.00000       -0.11342
      111.00000       89.00000       -0.11328
      113.00000       89.00000       -0.11313
      115.00000       89.00000       -0.11297
      117.00000       89.00000       -0.11279
      119.00000       89.00000       -0.11261
      121.00000       89.00000       -0.11241
      123.00000       89.00000       -0.11219
      125.00000       89.00000       -0.11196
      127.00000       89.00000       -0.11172
      129.00000       89.00000       -0.11147
      131.00000       89.00000       -0.11120
      133.00000       89.00000       -0.11091
      135.00000       89.00000       -0.11061
      137.00000       89.00000       -0.11030
      139.00000       89.00000       -0.10996
      141.00000       89.00000       -0.10962
      143.00000       89.00000       -0.10926
      145.00000       89.00000       -0.10888
      147.00000       89.00000       -0.10849
      149.00000       89.00000       -0.10807
      151.00000       89.00000       -0.10765
      153.00000       89.00000       -0.10720
      155.00000       89.00000       -0.10674
      157.00000       89.00000       -0.10626
      159.00000       89.00000       -0.10577
      161.00000       89.00000       -0.10525
      163.00000       89.00000       -0.10472
      165.00000       89.00000       -0.10418
      167.00000       89.00000       -0.10361
      169.00000       89.00000       -0.10303
      171.00000       89.00000       -0.10243
      173.00000       89.00000       -0.10181
      175.00000       89.00000       -0.10118
      177.00000       89.00000       -0.10053
      179.00000       89.00000       -0.09986
      181.00000       89.00000       -0.09918
      183.00000       89.00000       -0.09848
      185.00000       89.00000       -0.09777
      187.00000       89.00000       -0.09705
      189.00000       89.00000       -0.09631
      191.00000       89.00000       -0.09556
      193.00000       89.00000       -0.09480
      195.00000       89.00000       -0.09403
      197.00000       89.00000       -0.09324
      199.00000       89.00000       -0.09245
      201.00000       89.00000       -0.09166
      203.00000       89.00000       -0.09085
      205.00000       89.00000       -0.09005
      207.00000       89.00000       -0.08923
      209.00000       89.00000       -0.08842
      211.00000       89.00000       -0.08761
      213.00000       89.00000       -0.08680
      215.00000       89.00000       -0.08599
      217.00000       89.00000       -0.08519
      219.00000       89.00000       -0.08440
      221.00000       89.00000       -0.08361
      223.00000       89.00000       -0.08284
      225.00000       89.00000       -0.08208
      227.00000       89.00000       -0.08133
