 # done by Task#3 of TABOO on 2017.02.06 time=16.02.48
# Time BP (kyrs) =     0.0000
# Load Mass (kg) =    0.000000E+00
# --------------------------------------------
#      lon (deg)      lat (deg)      geoid (m)
# --------------------------------------------
        1.00000       89.00000       -0.08902
        3.00000       89.00000       -0.08982
        5.00000       89.00000       -0.09060
        7.00000       89.00000       -0.09137
        9.00000       89.00000       -0.09212
       11.00000       89.00000       -0.09285
       13.00000       89.00000       -0.09357
       15.00000       89.00000       -0.09427
       17.00000       89.00000       -0.09495
       19.00000       89.00000       -0.09561
       21.00000       89.00000       -0.09626
       23.00000       89.00000       -0.09688
       25.00000       89.00000       -0.09749
       27.00000       89.00000       -0.09808
       29.00000       89.00000       -0.09865
       31.00000       89.00000       -0.09920
       33.00000       89.00000       -0.09973
       35.00000       89.00000       -0.10024
       37.00000       89.00000       -0.10074
       39.00000       89.00000       -0.10121
       41.00000       89.00000       -0.10167
       43.00000       89.00000       -0.10211
       45.00000       89.00000       -0.10253
       47.00000       89.00000       -0.10293
       49.00000       89.00000       -0.10332
       51.00000       89.00000       -0.10368
       53.00000       89.00000       -0.10403
       55.00000       89.00000       -0.10436
       57.00000       89.00000       -0.10468
       59.00000       89.00000       -0.10497
       61.00000       89.00000       -0.10525
       63.00000       89.00000       -0.10552
       65.00000       89.00000       -0.10577
       67.00000       89.00000       -0.10600
       69.00000       89.00000       -0.10621
       71.00000       89.00000       -0.10641
       73.00000       89.00000       -0.10659
       75.00000       89.00000       -0.10676
       77.00000       89.00000       -0.10691
       79.00000       89.00000       -0.10705
       81.00000       89.00000       -0.10717
       83.00000       89.00000       -0.10728
       85.00000       89.00000       -0.10737
       87.00000       89.00000       -0.10744
       89.00000       89.00000       -0.10750
       91.00000       89.00000       -0.10755
       93.00000       89.00000       -0.10758
       95.00000       89.00000       -0.10760
       97.00000       89.00000       -0.10760
       99.00000       89.00000       -0.10759
      101.00000       89.00000       -0.10756
      103.00000       89.00000       -0.10751
      105.00000       89.00000       -0.10745
      107.00000       89.00000       -0.10738
      109.00000       89.00000       -0.10729
      111.00000       89.00000       -0.10718
      113.00000       89.00000       -0.10706
      115.00000       89.00000       -0.10693
      117.00000       89.00000       -0.10677
      119.00000       89.00000       -0.10660
      121.00000       89.00000       -0.10642
      123.00000       89.00000       -0.10622
      125.00000       89.00000       -0.10600
      127.00000       89.00000       -0.10576
      129.00000       89.00000       -0.10551
      131.00000       89.00000       -0.10524
      133.00000       89.00000       -0.10495
      135.00000       89.00000       -0.10464
      137.00000       89.00000       -0.10431
      139.00000       89.00000       -0.10397
      141.00000       89.00000       -0.10360
      143.00000       89.00000       -0.10322
      145.00000       89.00000       -0.10282
      147.00000       89.00000       -0.10240
      149.00000       89.00000       -0.10195
      151.00000       89.00000       -0.10149
      153.00000       89.00000       -0.10101
      155.00000       89.00000       -0.10050
      157.00000       89.00000       -0.09998
      159.00000       89.00000       -0.09943
      161.00000       89.00000       -0.09887
      163.00000       89.00000       -0.09828
      165.00000       89.00000       -0.09767
      167.00000       89.00000       -0.09704
      169.00000       89.00000       -0.09639
      171.00000       89.00000       -0.09572
      173.00000       89.00000       -0.09503
      175.00000       89.00000       -0.09432
      177.00000       89.00000       -0.09358
      179.00000       89.00000       -0.09283
      181.00000       89.00000       -0.09206
      183.00000       89.00000       -0.09127
      185.00000       89.00000       -0.09046
      187.00000       89.00000       -0.08964
      189.00000       89.00000       -0.08880
      191.00000       89.00000       -0.08794
      193.00000       89.00000       -0.08707
      195.00000       89.00000       -0.08618
      197.00000       89.00000       -0.08528
      199.00000       89.00000       -0.08437
      201.00000       89.00000       -0.08345
      203.00000       89.00000       -0.08252
      205.00000       89.00000       -0.08158
      207.00000       89.00000       -0.08064
      209.00000       89.00000       -0.07970
      211.00000       89.00000       -0.07875
      213.00000       89.00000       -0.07780
      215.00000       89.00000       -0.07685
      217.00000       89.00000       -0.07591
      219.00000       89.00000       -0.07497
      221.00000       89.00000       -0.07404
      223.00000       89.00000       -0.07312
      225.00000       89.00000       -0.07221
      227.00000       89.00000       -0.07132
      229.00000       89.00000       -0.07044
      231.00000       89.00000       -0.06958
      233.00000       89.00000       -0.06874
      235.00000       89.00000       -0.06793
      237.00000       89.00000       -0.06714
      239.00000       89.00000       -0.06637
      241.00000       89.00000       -0.06564
      243.00000       89.00000       -0.06494
      245.00000       89.00000       -0.06428
      247.00000       89.00000       -0.06365
      249.00000       89.00000       -0.06305
      251.00000       89.00000       -0.06250
      253.00000       89.00000       -0.06199
      255.00000       89.00000       -0.06152
      257.00000       89.00000       -0.06110
      259.00000       89.00000       -0.06072
      261.00000       89.00000       -0.06038
      263.00000       89.00000       -0.06010
      265.00000       89.00000       -0.05986
      267.00000       89.00000       -0.05968
      269.00000       89.00000       -0.05954
      271.00000       89.00000       -0.05945
      273.00000       89.00000       -0.05941
      275.00000       89.00000       -0.05943
      277.00000       89.00000       -0.05949
      279.00000       89.00000       -0.05960
      281.00000       89.00000       -0.05976
      283.00000       89.00000       -0.05997
      285.00000       89.00000       -0.06023
      287.00000       89.00000       -0.06054
      289.00000       89.00000       -0.06089
      291.00000       89.00000       -0.06129
      293.00000       89.00000       -0.06172
      295.00000       89.00000       -0.06220
      297.00000       89.00000       -0.06272
      299.00000       89.00000       -0.06328
      301.00000       89.00000       -0.06388
      303.00000       89.00000       -0.06451
      305.00000       89.00000       -0.06517
      307.00000       89.00000       -0.06587
      309.00000       89.00000       -0.06659
      311.00000       89.00000       -0.06734
      313.00000       89.00000       -0.06811
      315.00000       89.00000       -0.06891
      317.00000       89.00000       -0.06972
      319.00000       89.00000       -0.07056
      321.00000       89.00000       -0.07141
      323.00000       89.00000       -0.07228
      325.00000       89.00000       -0.07315
      327.00000       89.00000       -0.07404
      329.00000       89.00000       -0.07494
      331.00000       89.00000       -0.07584
      333.00000       89.00000       -0.07674
      335.00000       89.00000       -0.07765
      337.00000       89.00000       -0.07856
      339.00000       89.00000       -0.07947
      341.00000       89.00000       -0.08038
      343.00000       89.00000       -0.08128
      345.00000       89.00000       -0.08218
      347.00000       89.00000       -0.08307
      349.00000       89.00000       -0.08395
      351.00000       89.00000       -0.08482
      353.00000       89.00000       -0.08569
      355.00000       89.00000       -0.08654
      357.00000       89.00000       -0.08738
      359.00000       89.00000       -0.08821
        1.00000       87.00000       -0.08690
        3.00000       87.00000       -0.08905
        5.00000       87.00000       -0.09108
        7.00000       87.00000       -0.09300
        9.00000       87.00000       -0.09481
       11.00000       87.00000       -0.09652
       13.00000       87.00000       -0.09813
       15.00000       87.00000       -0.09965
       17.00000       87.00000       -0.10107
       19.00000       87.00000       -0.10241
       21.00000       87.00000       -0.10367
       23.00000       87.00000       -0.10485
       25.00000       87.00000       -0.10595
       27.00000       87.00000       -0.10699
       29.00000       87.00000       -0.10795
       31.00000       87.00000       -0.10885
       33.00000       87.00000       -0.10969
       35.00000       87.00000       -0.11047
       37.00000       87.00000       -0.11120
       39.00000       87.00000       -0.11187
       41.00000       87.00000       -0.11249
       43.00000       87.00000       -0.11307
       45.00000       87.00000       -0.11360
       47.00000       87.00000       -0.11409
       49.00000       87.00000       -0.11454
       51.00000       87.00000       -0.11496
       53.00000       87.00000       -0.11534
       55.00000       87.00000       -0.11569
       57.00000       87.00000       -0.11601
       59.00000       87.00000       -0.11630
       61.00000       87.00000       -0.11656
       63.00000       87.00000       -0.11680
       65.00000       87.00000       -0.11701
       67.00000       87.00000       -0.11721
       69.00000       87.00000       -0.11738
       71.00000       87.00000       -0.11754
       73.00000       87.00000       -0.11768
       75.00000       87.00000       -0.11781
       77.00000       87.00000       -0.11792
       79.00000       87.00000       -0.11802
       81.00000       87.00000       -0.11811
       83.00000       87.00000       -0.11818
       85.00000       87.00000       -0.11825
       87.00000       87.00000       -0.11831
       89.00000       87.00000       -0.11836
       91.00000       87.00000       -0.11840
       93.00000       87.00000       -0.11843
       95.00000       87.00000       -0.11846
       97.00000       87.00000       -0.11848
       99.00000       87.00000       -0.11849
      101.00000       87.00000       -0.11850
      103.00000       87.00000       -0.11850
      105.00000       87.00000       -0.11850
      107.00000       87.00000       -0.11848
      109.00000       87.00000       -0.11846
      111.00000       87.00000       -0.11844
      113.00000       87.00000       -0.11840
      115.00000       87.00000       -0.11835
      117.00000       87.00000       -0.11830
      119.00000       87.00000       -0.11823
      121.00000       87.00000       -0.11815
      123.00000       87.00000       -0.11806
      125.00000       87.00000       -0.11794
      127.00000       87.00000       -0.11782
      129.00000       87.00000       -0.11767
      131.00000       87.00000       -0.11750
      133.00000       87.00000       -0.11730
      135.00000       87.00000       -0.11708
