 # done by Task#3 of TABOO on 2017.02.06 time=15.50.26
# Time BP (kyrs) =     0.0000
# Load Mass (kg) =    0.000000E+00
# --------------------------------------------
#      lon (deg)      lat (deg)      u_lat (m)
# --------------------------------------------
        1.00000       89.00000        0.00651
        3.00000       89.00000        0.01215
        5.00000       89.00000        0.01792
        7.00000       89.00000        0.02383
        9.00000       89.00000        0.02985
       11.00000       89.00000        0.03597
       13.00000       89.00000        0.04216
       15.00000       89.00000        0.04842
       17.00000       89.00000        0.05473
       19.00000       89.00000        0.06107
       21.00000       89.00000        0.06742
       23.00000       89.00000        0.07378
       25.00000       89.00000        0.08011
       27.00000       89.00000        0.08642
       29.00000       89.00000        0.09268
       31.00000       89.00000        0.09887
       33.00000       89.00000        0.10499
       35.00000       89.00000        0.11102
       37.00000       89.00000        0.11695
       39.00000       89.00000        0.12275
       41.00000       89.00000        0.12843
       43.00000       89.00000        0.13395
       45.00000       89.00000        0.13933
       47.00000       89.00000        0.14453
       49.00000       89.00000        0.14955
       51.00000       89.00000        0.15438
       53.00000       89.00000        0.15900
       55.00000       89.00000        0.16341
       57.00000       89.00000        0.16760
       59.00000       89.00000        0.17155
       61.00000       89.00000        0.17526
       63.00000       89.00000        0.17872
       65.00000       89.00000        0.18192
       67.00000       89.00000        0.18486
       69.00000       89.00000        0.18753
       71.00000       89.00000        0.18992
       73.00000       89.00000        0.19203
       75.00000       89.00000        0.19385
       77.00000       89.00000        0.19538
       79.00000       89.00000        0.19661
       81.00000       89.00000        0.19755
       83.00000       89.00000        0.19820
       85.00000       89.00000        0.19854
       87.00000       89.00000        0.19858
       89.00000       89.00000        0.19832
       91.00000       89.00000        0.19777
       93.00000       89.00000        0.19692
       95.00000       89.00000        0.19577
       97.00000       89.00000        0.19433
       99.00000       89.00000        0.19260
      101.00000       89.00000        0.19059
      103.00000       89.00000        0.18830
      105.00000       89.00000        0.18573
      107.00000       89.00000        0.18290
      109.00000       89.00000        0.17981
      111.00000       89.00000        0.17646
      113.00000       89.00000        0.17287
      115.00000       89.00000        0.16904
      117.00000       89.00000        0.16498
      119.00000       89.00000        0.16070
      121.00000       89.00000        0.15621
      123.00000       89.00000        0.15153
      125.00000       89.00000        0.14665
      127.00000       89.00000        0.14159
      129.00000       89.00000        0.13637
      131.00000       89.00000        0.13099
      133.00000       89.00000        0.12547
      135.00000       89.00000        0.11981
      137.00000       89.00000        0.11404
      139.00000       89.00000        0.10816
      141.00000       89.00000        0.10218
      143.00000       89.00000        0.09613
      145.00000       89.00000        0.09001
      147.00000       89.00000        0.08383
      149.00000       89.00000        0.07761
      151.00000       89.00000        0.07137
      153.00000       89.00000        0.06512
      155.00000       89.00000        0.05886
      157.00000       89.00000        0.05262
      159.00000       89.00000        0.04641
      161.00000       89.00000        0.04025
      163.00000       89.00000        0.03414
      165.00000       89.00000        0.02810
      167.00000       89.00000        0.02215
      169.00000       89.00000        0.01630
      171.00000       89.00000        0.01057
      173.00000       89.00000        0.00496
      175.00000       89.00000       -0.00050
      177.00000       89.00000       -0.00580
      179.00000       89.00000       -0.01093
      181.00000       89.00000       -0.01587
      183.00000       89.00000       -0.02062
      185.00000       89.00000       -0.02516
      187.00000       89.00000       -0.02947
      189.00000       89.00000       -0.03354
      191.00000       89.00000       -0.03737
      193.00000       89.00000       -0.04095
      195.00000       89.00000       -0.04425
      197.00000       89.00000       -0.04729
      199.00000       89.00000       -0.05004
      201.00000       89.00000       -0.05250
      203.00000       89.00000       -0.05467
      205.00000       89.00000       -0.05655
      207.00000       89.00000       -0.05813
      209.00000       89.00000       -0.05941
      211.00000       89.00000       -0.06040
      213.00000       89.00000       -0.06111
      215.00000       89.00000       -0.06152
      217.00000       89.00000       -0.06167
      219.00000       89.00000       -0.06154
      221.00000       89.00000       -0.06116
      223.00000       89.00000       -0.06055
      225.00000       89.00000       -0.05971
      227.00000       89.00000       -0.05866
      229.00000       89.00000       -0.05742
      231.00000       89.00000       -0.05602
      233.00000       89.00000       -0.05447
      235.00000       89.00000       -0.05280
      237.00000       89.00000       -0.05103
      239.00000       89.00000       -0.04920
      241.00000       89.00000       -0.04731
      243.00000       89.00000       -0.04541
      245.00000       89.00000       -0.04350
      247.00000       89.00000       -0.04163
      249.00000       89.00000       -0.03982
      251.00000       89.00000       -0.03808
      253.00000       89.00000       -0.03645
      255.00000       89.00000       -0.03493
      257.00000       89.00000       -0.03356
      259.00000       89.00000       -0.03235
      261.00000       89.00000       -0.03131
      263.00000       89.00000       -0.03046
      265.00000       89.00000       -0.02980
      267.00000       89.00000       -0.02936
      269.00000       89.00000       -0.02912
      271.00000       89.00000       -0.02909
      273.00000       89.00000       -0.02927
      275.00000       89.00000       -0.02966
      277.00000       89.00000       -0.03025
      279.00000       89.00000       -0.03103
      281.00000       89.00000       -0.03199
      283.00000       89.00000       -0.03312
      285.00000       89.00000       -0.03438
      287.00000       89.00000       -0.03578
      289.00000       89.00000       -0.03728
      291.00000       89.00000       -0.03887
      293.00000       89.00000       -0.04052
      295.00000       89.00000       -0.04220
      297.00000       89.00000       -0.04389
      299.00000       89.00000       -0.04557
      301.00000       89.00000       -0.04720
      303.00000       89.00000       -0.04876
      305.00000       89.00000       -0.05023
      307.00000       89.00000       -0.05157
      309.00000       89.00000       -0.05277
      311.00000       89.00000       -0.05380
      313.00000       89.00000       -0.05464
      315.00000       89.00000       -0.05527
      317.00000       89.00000       -0.05566
      319.00000       89.00000       -0.05581
      321.00000       89.00000       -0.05571
      323.00000       89.00000       -0.05532
      325.00000       89.00000       -0.05465
      327.00000       89.00000       -0.05369
      329.00000       89.00000       -0.05243
      331.00000       89.00000       -0.05086
      333.00000       89.00000       -0.04899
      335.00000       89.00000       -0.04681
      337.00000       89.00000       -0.04433
      339.00000       89.00000       -0.04155
      341.00000       89.00000       -0.03846
      343.00000       89.00000       -0.03509
      345.00000       89.00000       -0.03144
      347.00000       89.00000       -0.02752
      349.00000       89.00000       -0.02334
      351.00000       89.00000       -0.01890
      353.00000       89.00000       -0.01424
      355.00000       89.00000       -0.00934
      357.00000       89.00000       -0.00425
      359.00000       89.00000        0.00105
        1.00000       87.00000       -0.00379
        3.00000       87.00000        0.00376
        5.00000       87.00000        0.01165
        7.00000       87.00000        0.01982
        9.00000       87.00000        0.02824
       11.00000       87.00000        0.03688
       13.00000       87.00000        0.04570
       15.00000       87.00000        0.05468
       17.00000       87.00000        0.06378
       19.00000       87.00000        0.07300
       21.00000       87.00000        0.08230
       23.00000       87.00000        0.09165
       25.00000       87.00000        0.10104
       27.00000       87.00000        0.11045
       29.00000       87.00000        0.11984
       31.00000       87.00000        0.12919
       33.00000       87.00000        0.13848
       35.00000       87.00000        0.14769
       37.00000       87.00000        0.15679
       39.00000       87.00000        0.16575
       41.00000       87.00000        0.17457
       43.00000       87.00000        0.18320
       45.00000       87.00000        0.19164
       47.00000       87.00000        0.19985
       49.00000       87.00000        0.20783
       51.00000       87.00000        0.21553
       53.00000       87.00000        0.22295
       55.00000       87.00000        0.23006
       57.00000       87.00000        0.23685
       59.00000       87.00000        0.24329
       61.00000       87.00000        0.24936
       63.00000       87.00000        0.25505
       65.00000       87.00000        0.26034
       67.00000       87.00000        0.26521
       69.00000       87.00000        0.26965
       71.00000       87.00000        0.27364
       73.00000       87.00000        0.27717
       75.00000       87.00000        0.28023
       77.00000       87.00000        0.28281
       79.00000       87.00000        0.28490
       81.00000       87.00000        0.28649
       83.00000       87.00000        0.28758
       85.00000       87.00000        0.28816
       87.00000       87.00000        0.28824
       89.00000       87.00000        0.28781
       91.00000       87.00000        0.28688
       93.00000       87.00000        0.28545
       95.00000       87.00000        0.28352
       97.00000       87.00000        0.28111
       99.00000       87.00000        0.27822
      101.00000       87.00000        0.27486
      103.00000       87.00000        0.27105
      105.00000       87.00000        0.26680
      107.00000       87.00000        0.26211
      109.00000       87.00000        0.25702
      111.00000       87.00000        0.25153
      113.00000       87.00000        0.24566
      115.00000       87.00000        0.23944
      117.00000       87.00000        0.23288
      119.00000       87.00000        0.22600
      121.00000       87.00000        0.21883
      123.00000       87.00000        0.21138
      125.00000       87.00000        0.20368
      127.00000       87.00000        0.19576
      129.00000       87.00000        0.18763
      131.00000       87.00000        0.17932
      133.00000       87.00000        0.17085
      135.00000       87.00000        0.16224
      137.00000       87.00000        0.15352
      139.00000       87.00000        0.14472
      141.00000       87.00000        0.13584
      143.00000       87.00000        0.12692
      145.00000       87.00000        0.11798
      147.00000       87.00000        0.10903
      149.00000       87.00000        0.10011
      151.00000       87.00000        0.09123
      153.00000       87.00000        0.08241
      155.00000       87.00000        0.07367
      157.00000       87.00000        0.06504
      159.00000       87.00000        0.05654
      161.00000       87.00000        0.04817
      163.00000       87.00000        0.03997
      165.00000       87.00000        0.03195
      167.00000       87.00000        0.02414
      169.00000       87.00000        0.01654
      171.00000       87.00000        0.00919
      173.00000       87.00000        0.00210
      175.00000       87.00000       -0.00469
      177.00000       87.00000       -0.01115
      179.00000       87.00000       -0.01724
      181.00000       87.00000       -0.02293
      183.00000       87.00000       -0.02814
      185.00000       87.00000       -0.03282
      187.00000       87.00000       -0.03690
      189.00000       87.00000       -0.04028
      191.00000       87.00000       -0.04288
      193.00000       87.00000       -0.04457
      195.00000       87.00000       -0.04526
      197.00000       87.00000       -0.04479
      199.00000       87.00000       -0.04305
      201.00000       87.00000       -0.03990
      203.00000       87.00000       -0.03519
      205.00000       87.00000       -0.02878
      207.00000       87.00000       -0.02054
      209.00000       87.00000       -0.01035
      211.00000       87.00000        0.00191
      213.00000       87.00000        0.01633
      215.00000       87.00000        0.03300
      217.00000       87.00000        0.05196
      219.00000       87.00000        0.07324
      221.00000       87.00000        0.09684
      223.00000       87.00000        0.12271
      225.00000       87.00000        0.15079
      227.00000       87.00000        0.18094
      229.00000       87.00000        0.21303
      231.00000       87.00000        0.24686
      233.00000       87.00000        0.28221
      235.00000       87.00000        0.31879
      237.00000       87.00000        0.35632
      239.00000       87.00000        0.39445
      241.00000       87.00000        0.43283
      243.00000       87.00000        0.47109
      245.00000       87.00000        0.50882
      247.00000       87.00000        0.54561
      249.00000       87.00000        0.58107
      251.00000       87.00000        0.61478
      253.00000       87.00000        0.64635
      255.00000       87.00000        0.67541
      257.00000       87.00000        0.70159
      259.00000       87.00000        0.72459
      261.00000       87.00000        0.74412
      263.00000       87.00000        0.75992
      265.00000       87.00000        0.77180
      267.00000       87.00000        0.77961
      269.00000       87.00000        0.78323
      271.00000       87.00000        0.78263
      273.00000       87.00000        0.77781
      275.00000       87.00000        0.76882
      277.00000       87.00000        0.75578
      279.00000       87.00000        0.73883
      281.00000       87.00000        0.71821
      283.00000       87.00000        0.69414
      285.00000       87.00000        0.66694
      287.00000       87.00000        0.63693
      289.00000       87.00000        0.60447
      291.00000       87.00000        0.56993
      293.00000       87.00000        0.53373
      295.00000       87.00000        0.49627
      297.00000       87.00000        0.45797
      299.00000       87.00000        0.41923
      301.00000       87.00000        0.38045
      303.00000       87.00000        0.34202
      305.00000       87.00000        0.30431
      307.00000       87.00000        0.26763
      309.00000       87.00000        0.23231
      311.00000       87.00000        0.19860
      313.00000       87.00000        0.16673
      315.00000       87.00000        0.13690
      317.00000       87.00000        0.10926
      319.00000       87.00000        0.08392
      321.00000       87.00000        0.06095
      323.00000       87.00000        0.04039
      325.00000       87.00000        0.02224
      327.00000       87.00000        0.00647
      329.00000       87.00000       -0.00696
      331.00000       87.00000       -0.01816
      333.00000       87.00000       -0.02721
      335.00000       87.00000       -0.03424
