 # done by Task#3 of TABOO on 2017.02.06 time=16.02.48
# Time BP (kyrs) =     0.0000
# Load Mass (kg) =    0.000000E+00
# --------------------------------------------
#      lon (deg)      lat (deg)      u_lat (m)
# --------------------------------------------
        1.00000       89.00000       -0.03127
        3.00000       89.00000       -0.03166
        5.00000       89.00000       -0.03179
        7.00000       89.00000       -0.03165
        9.00000       89.00000       -0.03126
       11.00000       89.00000       -0.03063
       13.00000       89.00000       -0.02975
       15.00000       89.00000       -0.02864
       17.00000       89.00000       -0.02731
       19.00000       89.00000       -0.02577
       21.00000       89.00000       -0.02402
       23.00000       89.00000       -0.02208
       25.00000       89.00000       -0.01996
       27.00000       89.00000       -0.01766
       29.00000       89.00000       -0.01520
       31.00000       89.00000       -0.01259
       33.00000       89.00000       -0.00984
       35.00000       89.00000       -0.00696
       37.00000       89.00000       -0.00397
       39.00000       89.00000       -0.00088
       41.00000       89.00000        0.00231
       43.00000       89.00000        0.00558
       45.00000       89.00000        0.00892
       47.00000       89.00000        0.01230
       49.00000       89.00000        0.01574
       51.00000       89.00000        0.01920
       53.00000       89.00000        0.02268
       55.00000       89.00000        0.02616
       57.00000       89.00000        0.02964
       59.00000       89.00000        0.03310
       61.00000       89.00000        0.03654
       63.00000       89.00000        0.03993
       65.00000       89.00000        0.04327
       67.00000       89.00000        0.04655
       69.00000       89.00000        0.04975
       71.00000       89.00000        0.05288
       73.00000       89.00000        0.05591
       75.00000       89.00000        0.05884
       77.00000       89.00000        0.06167
       79.00000       89.00000        0.06438
       81.00000       89.00000        0.06697
       83.00000       89.00000        0.06943
       85.00000       89.00000        0.07175
       87.00000       89.00000        0.07393
       89.00000       89.00000        0.07597
       91.00000       89.00000        0.07785
       93.00000       89.00000        0.07959
       95.00000       89.00000        0.08116
       97.00000       89.00000        0.08258
       99.00000       89.00000        0.08384
      101.00000       89.00000        0.08494
      103.00000       89.00000        0.08588
      105.00000       89.00000        0.08666
      107.00000       89.00000        0.08727
      109.00000       89.00000        0.08773
      111.00000       89.00000        0.08804
      113.00000       89.00000        0.08819
      115.00000       89.00000        0.08819
      117.00000       89.00000        0.08804
      119.00000       89.00000        0.08775
      121.00000       89.00000        0.08732
      123.00000       89.00000        0.08676
      125.00000       89.00000        0.08608
      127.00000       89.00000        0.08527
      129.00000       89.00000        0.08435
      131.00000       89.00000        0.08332
      133.00000       89.00000        0.08219
      135.00000       89.00000        0.08097
      137.00000       89.00000        0.07967
      139.00000       89.00000        0.07829
      141.00000       89.00000        0.07684
      143.00000       89.00000        0.07533
      145.00000       89.00000        0.07377
      147.00000       89.00000        0.07217
      149.00000       89.00000        0.07054
      151.00000       89.00000        0.06888
      153.00000       89.00000        0.06722
      155.00000       89.00000        0.06555
      157.00000       89.00000        0.06390
      159.00000       89.00000        0.06226
      161.00000       89.00000        0.06065
      163.00000       89.00000        0.05909
      165.00000       89.00000        0.05757
      167.00000       89.00000        0.05612
      169.00000       89.00000        0.05475
      171.00000       89.00000        0.05346
      173.00000       89.00000        0.05227
      175.00000       89.00000        0.05119
      177.00000       89.00000        0.05023
      179.00000       89.00000        0.04941
      181.00000       89.00000        0.04873
      183.00000       89.00000        0.04820
      185.00000       89.00000        0.04785
      187.00000       89.00000        0.04766
      189.00000       89.00000        0.04767
      191.00000       89.00000        0.04787
      193.00000       89.00000        0.04827
      195.00000       89.00000        0.04889
      197.00000       89.00000        0.04972
      199.00000       89.00000        0.05078
      201.00000       89.00000        0.05207
      203.00000       89.00000        0.05358
      205.00000       89.00000        0.05533
      207.00000       89.00000        0.05731
      209.00000       89.00000        0.05951
      211.00000       89.00000        0.06194
      213.00000       89.00000        0.06459
      215.00000       89.00000        0.06744
      217.00000       89.00000        0.07050
      219.00000       89.00000        0.07374
      221.00000       89.00000        0.07715
      223.00000       89.00000        0.08071
      225.00000       89.00000        0.08441
      227.00000       89.00000        0.08822
      229.00000       89.00000        0.09212
      231.00000       89.00000        0.09609
      233.00000       89.00000        0.10010
      235.00000       89.00000        0.10411
      237.00000       89.00000        0.10811
      239.00000       89.00000        0.11206
      241.00000       89.00000        0.11594
      243.00000       89.00000        0.11970
      245.00000       89.00000        0.12332
      247.00000       89.00000        0.12677
      249.00000       89.00000        0.13002
      251.00000       89.00000        0.13304
      253.00000       89.00000        0.13580
      255.00000       89.00000        0.13828
      257.00000       89.00000        0.14044
      259.00000       89.00000        0.14226
      261.00000       89.00000        0.14374
      263.00000       89.00000        0.14484
      265.00000       89.00000        0.14555
      267.00000       89.00000        0.14586
      269.00000       89.00000        0.14575
      271.00000       89.00000        0.14523
      273.00000       89.00000        0.14429
      275.00000       89.00000        0.14293
      277.00000       89.00000        0.14115
      279.00000       89.00000        0.13896
      281.00000       89.00000        0.13636
      283.00000       89.00000        0.13338
      285.00000       89.00000        0.13002
      287.00000       89.00000        0.12631
      289.00000       89.00000        0.12226
      291.00000       89.00000        0.11790
      293.00000       89.00000        0.11324
      295.00000       89.00000        0.10833
      297.00000       89.00000        0.10318
      299.00000       89.00000        0.09783
      301.00000       89.00000        0.09230
      303.00000       89.00000        0.08662
      305.00000       89.00000        0.08083
      307.00000       89.00000        0.07496
      309.00000       89.00000        0.06904
      311.00000       89.00000        0.06309
      313.00000       89.00000        0.05715
      315.00000       89.00000        0.05124
      317.00000       89.00000        0.04540
      319.00000       89.00000        0.03964
      321.00000       89.00000        0.03400
      323.00000       89.00000        0.02850
      325.00000       89.00000        0.02316
      327.00000       89.00000        0.01799
      329.00000       89.00000        0.01302
      331.00000       89.00000        0.00826
      333.00000       89.00000        0.00374
      335.00000       89.00000       -0.00055
      337.00000       89.00000       -0.00458
      339.00000       89.00000       -0.00835
      341.00000       89.00000       -0.01185
      343.00000       89.00000       -0.01508
      345.00000       89.00000       -0.01802
      347.00000       89.00000       -0.02068
      349.00000       89.00000       -0.02305
      351.00000       89.00000       -0.02514
      353.00000       89.00000       -0.02693
      355.00000       89.00000       -0.02844
      357.00000       89.00000       -0.02966
      359.00000       89.00000       -0.03061
        1.00000       87.00000       -0.01406
        3.00000       87.00000       -0.01381
        5.00000       87.00000       -0.01307
        7.00000       87.00000       -0.01183
        9.00000       87.00000       -0.01014
       11.00000       87.00000       -0.00799
       13.00000       87.00000       -0.00542
       15.00000       87.00000       -0.00242
       17.00000       87.00000        0.00099
       19.00000       87.00000        0.00480
       21.00000       87.00000        0.00898
       23.00000       87.00000        0.01353
       25.00000       87.00000        0.01841
       27.00000       87.00000        0.02362
       29.00000       87.00000        0.02913
       31.00000       87.00000        0.03490
       33.00000       87.00000        0.04092
       35.00000       87.00000        0.04716
       37.00000       87.00000        0.05359
       39.00000       87.00000        0.06018
       41.00000       87.00000        0.06690
       43.00000       87.00000        0.07372
       45.00000       87.00000        0.08062
       47.00000       87.00000        0.08756
       49.00000       87.00000        0.09452
       51.00000       87.00000        0.10147
       53.00000       87.00000        0.10838
       55.00000       87.00000        0.11523
       57.00000       87.00000        0.12198
       59.00000       87.00000        0.12863
       61.00000       87.00000        0.13512
       63.00000       87.00000        0.14146
       65.00000       87.00000        0.14759
       67.00000       87.00000        0.15352
       69.00000       87.00000        0.15920
       71.00000       87.00000        0.16462
       73.00000       87.00000        0.16976
       75.00000       87.00000        0.17460
       77.00000       87.00000        0.17912
       79.00000       87.00000        0.18330
       81.00000       87.00000        0.18713
       83.00000       87.00000        0.19059
       85.00000       87.00000        0.19368
       87.00000       87.00000        0.19638
       89.00000       87.00000        0.19869
       91.00000       87.00000        0.20060
       93.00000       87.00000        0.20211
       95.00000       87.00000        0.20321
       97.00000       87.00000        0.20391
       99.00000       87.00000        0.20421
      101.00000       87.00000        0.20412
      103.00000       87.00000        0.20364
      105.00000       87.00000        0.20278
      107.00000       87.00000        0.20155
      109.00000       87.00000        0.19996
      111.00000       87.00000        0.19803
      113.00000       87.00000        0.19576
      115.00000       87.00000        0.19319
      117.00000       87.00000        0.19031
      119.00000       87.00000        0.18716
      121.00000       87.00000        0.18375
      123.00000       87.00000        0.18011
      125.00000       87.00000        0.17625
      127.00000       87.00000        0.17220
      129.00000       87.00000        0.16797
      131.00000       87.00000        0.16360
      133.00000       87.00000        0.15909
      135.00000       87.00000        0.15448
      137.00000       87.00000        0.14979
      139.00000       87.00000        0.14502
      141.00000       87.00000        0.14021
      143.00000       87.00000        0.13537
      145.00000       87.00000        0.13052
      147.00000       87.00000        0.12567
      149.00000       87.00000        0.12086
      151.00000       87.00000        0.11608
      153.00000       87.00000        0.11136
      155.00000       87.00000        0.10671
      157.00000       87.00000        0.10215
      159.00000       87.00000        0.09769
      161.00000       87.00000        0.09335
      163.00000       87.00000        0.08914
      165.00000       87.00000        0.08507
      167.00000       87.00000        0.08116
      169.00000       87.00000        0.07742
      171.00000       87.00000        0.07388
      173.00000       87.00000        0.07054
      175.00000       87.00000        0.06744
      177.00000       87.00000        0.06461
      179.00000       87.00000        0.06208
      181.00000       87.00000        0.05990
      183.00000       87.00000        0.05812
      185.00000       87.00000        0.05680
      187.00000       87.00000        0.05603
      189.00000       87.00000        0.05589
      191.00000       87.00000        0.05648
      193.00000       87.00000        0.05791
      195.00000       87.00000        0.06032
