 # done by Task#3 of TABOO on 2017.02.06 time=15.50.26
# Time BP (kyrs) =     0.0000
# Load Mass (kg) =    0.000000E+00
# --------------------------------------------
#      lon (deg)      lat (deg)      u_lon (m)
# --------------------------------------------
        1.00000       89.00000       -0.15083
        3.00000       89.00000       -0.15287
        5.00000       89.00000       -0.15462
        7.00000       89.00000       -0.15608
        9.00000       89.00000       -0.15725
       11.00000       89.00000       -0.15810
       13.00000       89.00000       -0.15866
       15.00000       89.00000       -0.15890
       17.00000       89.00000       -0.15883
       19.00000       89.00000       -0.15846
       21.00000       89.00000       -0.15777
       23.00000       89.00000       -0.15677
       25.00000       89.00000       -0.15547
       27.00000       89.00000       -0.15386
       29.00000       89.00000       -0.15194
       31.00000       89.00000       -0.14973
       33.00000       89.00000       -0.14722
       35.00000       89.00000       -0.14442
       37.00000       89.00000       -0.14134
       39.00000       89.00000       -0.13798
       41.00000       89.00000       -0.13435
       43.00000       89.00000       -0.13045
       45.00000       89.00000       -0.12630
       47.00000       89.00000       -0.12190
       49.00000       89.00000       -0.11725
       51.00000       89.00000       -0.11238
       53.00000       89.00000       -0.10728
       55.00000       89.00000       -0.10198
       57.00000       89.00000       -0.09647
       59.00000       89.00000       -0.09078
       61.00000       89.00000       -0.08490
       63.00000       89.00000       -0.07886
       65.00000       89.00000       -0.07267
       67.00000       89.00000       -0.06633
       69.00000       89.00000       -0.05987
       71.00000       89.00000       -0.05328
       73.00000       89.00000       -0.04660
       75.00000       89.00000       -0.03983
       77.00000       89.00000       -0.03297
       79.00000       89.00000       -0.02606
       81.00000       89.00000       -0.01910
       83.00000       89.00000       -0.01211
       85.00000       89.00000       -0.00509
       87.00000       89.00000        0.00193
       89.00000       89.00000        0.00895
       91.00000       89.00000        0.01594
       93.00000       89.00000        0.02290
       95.00000       89.00000        0.02980
       97.00000       89.00000        0.03665
       99.00000       89.00000        0.04342
      101.00000       89.00000        0.05010
      103.00000       89.00000        0.05667
      105.00000       89.00000        0.06314
      107.00000       89.00000        0.06947
      109.00000       89.00000        0.07566
      111.00000       89.00000        0.08171
      113.00000       89.00000        0.08759
      115.00000       89.00000        0.09329
      117.00000       89.00000        0.09881
      119.00000       89.00000        0.10414
      121.00000       89.00000        0.10927
      123.00000       89.00000        0.11417
      125.00000       89.00000        0.11886
      127.00000       89.00000        0.12332
      129.00000       89.00000        0.12754
      131.00000       89.00000        0.13151
      133.00000       89.00000        0.13523
      135.00000       89.00000        0.13869
      137.00000       89.00000        0.14189
      139.00000       89.00000        0.14482
      141.00000       89.00000        0.14747
      143.00000       89.00000        0.14985
      145.00000       89.00000        0.15194
      147.00000       89.00000        0.15375
      149.00000       89.00000        0.15527
      151.00000       89.00000        0.15650
      153.00000       89.00000        0.15744
      155.00000       89.00000        0.15808
      157.00000       89.00000        0.15844
      159.00000       89.00000        0.15850
      161.00000       89.00000        0.15827
      163.00000       89.00000        0.15776
      165.00000       89.00000        0.15695
      167.00000       89.00000        0.15586
      169.00000       89.00000        0.15449
      171.00000       89.00000        0.15284
      173.00000       89.00000        0.15092
      175.00000       89.00000        0.14873
      177.00000       89.00000        0.14629
      179.00000       89.00000        0.14359
      181.00000       89.00000        0.14065
      183.00000       89.00000        0.13747
      185.00000       89.00000        0.13407
      187.00000       89.00000        0.13046
      189.00000       89.00000        0.12664
      191.00000       89.00000        0.12265
      193.00000       89.00000        0.11847
      195.00000       89.00000        0.11415
      197.00000       89.00000        0.10968
      199.00000       89.00000        0.10509
      201.00000       89.00000        0.10039
      203.00000       89.00000        0.09561
      205.00000       89.00000        0.09077
      207.00000       89.00000        0.08588
      209.00000       89.00000        0.08096
      211.00000       89.00000        0.07604
      213.00000       89.00000        0.07114
      215.00000       89.00000        0.06628
      217.00000       89.00000        0.06148
      219.00000       89.00000        0.05677
      221.00000       89.00000        0.05215
      223.00000       89.00000        0.04765
      225.00000       89.00000        0.04329
      227.00000       89.00000        0.03909
      229.00000       89.00000        0.03506
      231.00000       89.00000        0.03121
      233.00000       89.00000        0.02756
      235.00000       89.00000        0.02412
      237.00000       89.00000        0.02089
      239.00000       89.00000        0.01788
      241.00000       89.00000        0.01510
      243.00000       89.00000        0.01254
      245.00000       89.00000        0.01020
      247.00000       89.00000        0.00808
      249.00000       89.00000        0.00616
      251.00000       89.00000        0.00445
      253.00000       89.00000        0.00293
      255.00000       89.00000        0.00159
      257.00000       89.00000        0.00040
      259.00000       89.00000       -0.00065
      261.00000       89.00000       -0.00158
