 # done by Task#3 of TABOO on 2017.02.06 time=16.02.48
# Time BP (kyrs) =     0.0000
# Load Mass (kg) =    0.000000E+00
# --------------------------------------------
#      lon (deg)      lat (deg)      u_lon (m)
# --------------------------------------------
        1.00000       89.00000        0.00848
        3.00000       89.00000        0.00387
        5.00000       89.00000       -0.00068
        7.00000       89.00000       -0.00517
        9.00000       89.00000       -0.00959
       11.00000       89.00000       -0.01392
       13.00000       89.00000       -0.01814
       15.00000       89.00000       -0.02226
       17.00000       89.00000       -0.02625
       19.00000       89.00000       -0.03012
       21.00000       89.00000       -0.03384
       23.00000       89.00000       -0.03741
       25.00000       89.00000       -0.04082
       27.00000       89.00000       -0.04407
       29.00000       89.00000       -0.04714
       31.00000       89.00000       -0.05003
       33.00000       89.00000       -0.05274
       35.00000       89.00000       -0.05526
       37.00000       89.00000       -0.05758
       39.00000       89.00000       -0.05970
       41.00000       89.00000       -0.06162
       43.00000       89.00000       -0.06333
       45.00000       89.00000       -0.06484
       47.00000       89.00000       -0.06614
       49.00000       89.00000       -0.06723
       51.00000       89.00000       -0.06810
       53.00000       89.00000       -0.06877
       55.00000       89.00000       -0.06924
       57.00000       89.00000       -0.06949
       59.00000       89.00000       -0.06955
       61.00000       89.00000       -0.06940
       63.00000       89.00000       -0.06906
       65.00000       89.00000       -0.06853
       67.00000       89.00000       -0.06781
       69.00000       89.00000       -0.06691
       71.00000       89.00000       -0.06584
       73.00000       89.00000       -0.06461
       75.00000       89.00000       -0.06321
       77.00000       89.00000       -0.06166
       79.00000       89.00000       -0.05997
       81.00000       89.00000       -0.05814
       83.00000       89.00000       -0.05619
       85.00000       89.00000       -0.05413
       87.00000       89.00000       -0.05195
       89.00000       89.00000       -0.04968
       91.00000       89.00000       -0.04732
       93.00000       89.00000       -0.04488
       95.00000       89.00000       -0.04238
       97.00000       89.00000       -0.03982
       99.00000       89.00000       -0.03722
      101.00000       89.00000       -0.03458
      103.00000       89.00000       -0.03191
      105.00000       89.00000       -0.02923
      107.00000       89.00000       -0.02654
      109.00000       89.00000       -0.02386
      111.00000       89.00000       -0.02120
      113.00000       89.00000       -0.01856
      115.00000       89.00000       -0.01595
      117.00000       89.00000       -0.01339
      119.00000       89.00000       -0.01088
      121.00000       89.00000       -0.00843
      123.00000       89.00000       -0.00606
      125.00000       89.00000       -0.00376
      127.00000       89.00000       -0.00155
      129.00000       89.00000        0.00057
      131.00000       89.00000        0.00259
      133.00000       89.00000        0.00450
      135.00000       89.00000        0.00630
      137.00000       89.00000        0.00798
      139.00000       89.00000        0.00953
      141.00000       89.00000        0.01096
      143.00000       89.00000        0.01224
      145.00000       89.00000        0.01339
      147.00000       89.00000        0.01440
      149.00000       89.00000        0.01526
      151.00000       89.00000        0.01597
      153.00000       89.00000        0.01652
      155.00000       89.00000        0.01692
      157.00000       89.00000        0.01717
      159.00000       89.00000        0.01726
      161.00000       89.00000        0.01719
      163.00000       89.00000        0.01696
      165.00000       89.00000        0.01658
      167.00000       89.00000        0.01603
      169.00000       89.00000        0.01534
      171.00000       89.00000        0.01449
      173.00000       89.00000        0.01349
