 # done by Task#3 of TABOO on 2017.02.06 time=15.50.26
# Time BP (kyrs) =     0.0000
# Load Mass (kg) =    0.000000E+00
# --------------------------------------------
#      lon (deg)      lat (deg)      u_rad (m)
# --------------------------------------------
        1.00000       89.00000       -1.70648
        3.00000       89.00000       -1.69632
        5.00000       89.00000       -1.68615
        7.00000       89.00000       -1.67601
        9.00000       89.00000       -1.66591
       11.00000       89.00000       -1.65586
       13.00000       89.00000       -1.64588
       15.00000       89.00000       -1.63599
       17.00000       89.00000       -1.62619
       19.00000       89.00000       -1.61651
       21.00000       89.00000       -1.60695
       23.00000       89.00000       -1.59753
       25.00000       89.00000       -1.58826
       27.00000       89.00000       -1.57915
       29.00000       89.00000       -1.57022
       31.00000       89.00000       -1.56146
       33.00000       89.00000       -1.55290
       35.00000       89.00000       -1.54455
       37.00000       89.00000       -1.53640
       39.00000       89.00000       -1.52847
       41.00000       89.00000       -1.52076
       43.00000       89.00000       -1.51329
       45.00000       89.00000       -1.50606
       47.00000       89.00000       -1.49908
       49.00000       89.00000       -1.49235
       51.00000       89.00000       -1.48588
       53.00000       89.00000       -1.47967
       55.00000       89.00000       -1.47373
       57.00000       89.00000       -1.46807
       59.00000       89.00000       -1.46268
       61.00000       89.00000       -1.45757
       63.00000       89.00000       -1.45275
       65.00000       89.00000       -1.44821
       67.00000       89.00000       -1.44397
       69.00000       89.00000       -1.44003
       71.00000       89.00000       -1.43638
       73.00000       89.00000       -1.43303
       75.00000       89.00000       -1.42998
       77.00000       89.00000       -1.42724
       79.00000       89.00000       -1.42480
       81.00000       89.00000       -1.42267
       83.00000       89.00000       -1.42085
       85.00000       89.00000       -1.41935
       87.00000       89.00000       -1.41815
       89.00000       89.00000       -1.41727
       91.00000       89.00000       -1.41671
       93.00000       89.00000       -1.41646
       95.00000       89.00000       -1.41652
       97.00000       89.00000       -1.41690
       99.00000       89.00000       -1.41760
      101.00000       89.00000       -1.41861
      103.00000       89.00000       -1.41995
      105.00000       89.00000       -1.42159
      107.00000       89.00000       -1.42356
      109.00000       89.00000       -1.42584
      111.00000       89.00000       -1.42843
      113.00000       89.00000       -1.43134
      115.00000       89.00000       -1.43456
      117.00000       89.00000       -1.43809
      119.00000       89.00000       -1.44193
      121.00000       89.00000       -1.44608
      123.00000       89.00000       -1.45053
      125.00000       89.00000       -1.45529
      127.00000       89.00000       -1.46034
      129.00000       89.00000       -1.46568
      131.00000       89.00000       -1.47132
      133.00000       89.00000       -1.47725
      135.00000       89.00000       -1.48346
      137.00000       89.00000       -1.48995
      139.00000       89.00000       -1.49671
      141.00000       89.00000       -1.50373
      143.00000       89.00000       -1.51102
      145.00000       89.00000       -1.51856
      147.00000       89.00000       -1.52634
      149.00000       89.00000       -1.53436
      151.00000       89.00000       -1.54261
      153.00000       89.00000       -1.55109
      155.00000       89.00000       -1.55977
      157.00000       89.00000       -1.56864
