 # done by Task#3 of TABOO on 2017.02.06 time=16.02.48
# Time BP (kyrs) =     0.0000
# Load Mass (kg) =    0.000000E+00
# --------------------------------------------
#      lon (deg)      lat (deg)      u_rad (m)
# --------------------------------------------
        1.00000       89.00000       -1.66757
        3.00000       89.00000       -1.66106
        5.00000       89.00000       -1.65457
        7.00000       89.00000       -1.64809
        9.00000       89.00000       -1.64165
       11.00000       89.00000       -1.63525
       13.00000       89.00000       -1.62889
       15.00000       89.00000       -1.62258
       17.00000       89.00000       -1.61634
       19.00000       89.00000       -1.61017
       21.00000       89.00000       -1.60408
       23.00000       89.00000       -1.59808
       25.00000       89.00000       -1.59217
       27.00000       89.00000       -1.58636
       29.00000       89.00000       -1.58065
       31.00000       89.00000       -1.57506
       33.00000       89.00000       -1.56959
       35.00000       89.00000       -1.56425
       37.00000       89.00000       -1.55904
       39.00000       89.00000       -1.55397
       41.00000       89.00000       -1.54905
       43.00000       89.00000       -1.54427
       45.00000       89.00000       -1.53966
       47.00000       89.00000       -1.53520
       49.00000       89.00000       -1.53091
       51.00000       89.00000       -1.52680
       53.00000       89.00000       -1.52287
       55.00000       89.00000       -1.51911
       57.00000       89.00000       -1.51555
       59.00000       89.00000       -1.51218
       61.00000       89.00000       -1.50901
       63.00000       89.00000       -1.50604
       65.00000       89.00000       -1.50328
       67.00000       89.00000       -1.50073
       69.00000       89.00000       -1.49840
       71.00000       89.00000       -1.49629
       73.00000       89.00000       -1.49440
       75.00000       89.00000       -1.49275
       77.00000       89.00000       -1.49132
       79.00000       89.00000       -1.49014
       81.00000       89.00000       -1.48919
       83.00000       89.00000       -1.48848
       85.00000       89.00000       -1.48802
       87.00000       89.00000       -1.48782
       89.00000       89.00000       -1.48786
       91.00000       89.00000       -1.48816
       93.00000       89.00000       -1.48871
       95.00000       89.00000       -1.48953
       97.00000       89.00000       -1.49060
       99.00000       89.00000       -1.49194
      101.00000       89.00000       -1.49355
      103.00000       89.00000       -1.49542
      105.00000       89.00000       -1.49755
      107.00000       89.00000       -1.49995
      109.00000       89.00000       -1.50262
      111.00000       89.00000       -1.50556
      113.00000       89.00000       -1.50876
      115.00000       89.00000       -1.51223
      117.00000       89.00000       -1.51597
      119.00000       89.00000       -1.51996
      121.00000       89.00000       -1.52422
      123.00000       89.00000       -1.52874
      125.00000       89.00000       -1.53352
      127.00000       89.00000       -1.53855
      129.00000       89.00000       -1.54383
      131.00000       89.00000       -1.54935
      133.00000       89.00000       -1.55512
      135.00000       89.00000       -1.56112
      137.00000       89.00000       -1.56735
      139.00000       89.00000       -1.57381
      141.00000       89.00000       -1.58048
      143.00000       89.00000       -1.58737
      145.00000       89.00000       -1.59445
      147.00000       89.00000       -1.60173
      149.00000       89.00000       -1.60920
      151.00000       89.00000       -1.61684
      153.00000       89.00000       -1.62464
      155.00000       89.00000       -1.63259
      157.00000       89.00000       -1.64069
      159.00000       89.00000       -1.64891
      161.00000       89.00000       -1.65725
      163.00000       89.00000       -1.66569
      165.00000       89.00000       -1.67421
      167.00000       89.00000       -1.68281
      169.00000       89.00000       -1.69145
      171.00000       89.00000       -1.70014
      173.00000       89.00000       -1.70885
      175.00000       89.00000       -1.71756
      177.00000       89.00000       -1.72626
      179.00000       89.00000       -1.73492
      181.00000       89.00000       -1.74353
      183.00000       89.00000       -1.75207
      185.00000       89.00000       -1.76052
      187.00000       89.00000       -1.76886
      189.00000       89.00000       -1.77707
      191.00000       89.00000       -1.78513
      193.00000       89.00000       -1.79302
      195.00000       89.00000       -1.80072
      197.00000       89.00000       -1.80821
      199.00000       89.00000       -1.81548
      201.00000       89.00000       -1.82252
      203.00000       89.00000       -1.82929
      205.00000       89.00000       -1.83579
      207.00000       89.00000       -1.84200
      209.00000       89.00000       -1.84792
      211.00000       89.00000       -1.85352
      213.00000       89.00000       -1.85880
      215.00000       89.00000       -1.86375
      217.00000       89.00000       -1.86835
      219.00000       89.00000       -1.87262
      221.00000       89.00000       -1.87654
      223.00000       89.00000       -1.88010
      225.00000       89.00000       -1.88331
      227.00000       89.00000       -1.88618
      229.00000       89.00000       -1.88869
      231.00000       89.00000       -1.89086
      233.00000       89.00000       -1.89269
      235.00000       89.00000       -1.89419
      237.00000       89.00000       -1.89537
      239.00000       89.00000       -1.89623
      241.00000       89.00000       -1.89679
      243.00000       89.00000       -1.89706
      245.00000       89.00000       -1.89705
