 # done by Task#3 of TABOO on 2017.02.06 time=15.50.26
# Time BP (kyrs) =     0.0000
# Load Mass (kg) =    0.000000E+00
# -----------------------------------------------
#      lon (deg)      lat (deg)     d_geo (mm/yr)
# -----------------------------------------------
        1.00000       89.00000        0.00407
        3.00000       89.00000        0.00431
        5.00000       89.00000        0.00455
        7.00000       89.00000        0.00479
        9.00000       89.00000        0.00502
       11.00000       89.00000        0.00525
       13.00000       89.00000        0.00547
       15.00000       89.00000        0.00569
       17.00000       89.00000        0.00591
       19.00000       89.00000        0.00613
       21.00000       89.00000        0.00633
       23.00000       89.00000        0.00654
       25.00000       89.00000        0.00674
       27.00000       89.00000        0.00694
       29.00000       89.00000        0.00713
       31.00000       89.00000        0.00731
       33.00000       89.00000        0.00749
       35.00000       89.00000        0.00767
       37.00000       89.00000        0.00784
       39.00000       89.00000        0.00800
       41.00000       89.00000        0.00816
       43.00000       89.00000        0.00832
       45.00000       89.00000        0.00846
       47.00000       89.00000        0.00861
       49.00000       89.00000        0.00874
       51.00000       89.00000        0.00887
       53.00000       89.00000        0.00900
       55.00000       89.00000        0.00912
       57.00000       89.00000        0.00923
       59.00000       89.00000        0.00934
       61.00000       89.00000        0.00944
       63.00000       89.00000        0.00953
       65.00000       89.00000        0.00962
       67.00000       89.00000        0.00971
       69.00000       89.00000        0.00978
       71.00000       89.00000        0.00985
       73.00000       89.00000        0.00992
       75.00000       89.00000        0.00998
       77.00000       89.00000        0.01003
       79.00000       89.00000        0.01007
       81.00000       89.00000        0.01011
       83.00000       89.00000        0.01015
       85.00000       89.00000        0.01017
       87.00000       89.00000        0.01019
       89.00000       89.00000        0.01021
       91.00000       89.00000        0.01021
       93.00000       89.00000        0.01022
       95.00000       89.00000        0.01021
       97.00000       89.00000        0.01020
       99.00000       89.00000        0.01018
      101.00000       89.00000        0.01016
      103.00000       89.00000        0.01013
      105.00000       89.00000        0.01009
      107.00000       89.00000        0.01005
      109.00000       89.00000        0.01000
      111.00000       89.00000        0.00994
      113.00000       89.00000        0.00988
      115.00000       89.00000        0.00981
      117.00000       89.00000        0.00973
      119.00000       89.00000        0.00965
      121.00000       89.00000        0.00956
      123.00000       89.00000        0.00946
      125.00000       89.00000        0.00936
      127.00000       89.00000        0.00926
      129.00000       89.00000        0.00914
      131.00000       89.00000        0.00902
      133.00000       89.00000        0.00889
      135.00000       89.00000        0.00876
      137.00000       89.00000        0.00862
      139.00000       89.00000        0.00848
      141.00000       89.00000        0.00833
      143.00000       89.00000        0.00817
      145.00000       89.00000        0.00801
      147.00000       89.00000        0.00784
      149.00000       89.00000        0.00766
      151.00000       89.00000        0.00748
      153.00000       89.00000        0.00730
      155.00000       89.00000        0.00710
      157.00000       89.00000        0.00691
      159.00000       89.00000        0.00671
      161.00000       89.00000        0.00650
      163.00000       89.00000        0.00629
      165.00000       89.00000        0.00607
      167.00000       89.00000        0.00585
      169.00000       89.00000        0.00563
      171.00000       89.00000        0.00540
      173.00000       89.00000        0.00517
      175.00000       89.00000        0.00493
      177.00000       89.00000        0.00469
      179.00000       89.00000        0.00445
      181.00000       89.00000        0.00420
      183.00000       89.00000        0.00396
      185.00000       89.00000        0.00371
      187.00000       89.00000        0.00345
      189.00000       89.00000        0.00320
      191.00000       89.00000        0.00295
      193.00000       89.00000        0.00269
      195.00000       89.00000        0.00243
      197.00000       89.00000        0.00218
      199.00000       89.00000        0.00192
      201.00000       89.00000        0.00166
      203.00000       89.00000        0.00141
      205.00000       89.00000        0.00115
      207.00000       89.00000        0.00090
      209.00000       89.00000        0.00065
      211.00000       89.00000        0.00040
      213.00000       89.00000        0.00016
      215.00000       89.00000       -0.00008
      217.00000       89.00000       -0.00032
      219.00000       89.00000       -0.00055
      221.00000       89.00000       -0.00078
      223.00000       89.00000       -0.00101
      225.00000       89.00000       -0.00122
      227.00000       89.00000       -0.00144
      229.00000       89.00000       -0.00164
      231.00000       89.00000       -0.00184
      233.00000       89.00000       -0.00203
      235.00000       89.00000       -0.00222
      237.00000       89.00000       -0.00240
      239.00000       89.00000       -0.00257
      241.00000       89.00000       -0.00273
      243.00000       89.00000       -0.00288
      245.00000       89.00000       -0.00302
      247.00000       89.00000       -0.00316
      249.00000       89.00000       -0.00328
      251.00000       89.00000       -0.00339
      253.00000       89.00000       -0.00350
      255.00000       89.00000       -0.00359
      257.00000       89.00000       -0.00367
      259.00000       89.00000       -0.00375
      261.00000       89.00000       -0.00381
      263.00000       89.00000       -0.00386
      265.00000       89.00000       -0.00390
      267.00000       89.00000       -0.00392
      269.00000       89.00000       -0.00394
      271.00000       89.00000       -0.00395
      273.00000       89.00000       -0.00394
      275.00000       89.00000       -0.00392
      277.00000       89.00000       -0.00389
      279.00000       89.00000       -0.00385
      281.00000       89.00000       -0.00380
      283.00000       89.00000       -0.00374
      285.00000       89.00000       -0.00367
      287.00000       89.00000       -0.00359
      289.00000       89.00000       -0.00349
      291.00000       89.00000       -0.00339
      293.00000       89.00000       -0.00328
      295.00000       89.00000       -0.00315
      297.00000       89.00000       -0.00302
      299.00000       89.00000       -0.00288
