 # done by Task#3 of TABOO on 2017.02.06 time=16.02.48
# Time BP (kyrs) =     0.0000
# Load Mass (kg) =    0.000000E+00
# -----------------------------------------------
#      lon (deg)      lat (deg)     d_geo (mm/yr)
# -----------------------------------------------
        1.00000       89.00000       -0.00081
        3.00000       89.00000       -0.00056
        5.00000       89.00000       -0.00031
        7.00000       89.00000       -0.00007
        9.00000       89.00000        0.00017
       11.00000       89.00000        0.00041
       13.00000       89.00000        0.00064
       15.00000       89.00000        0.00087
       17.00000       89.00000        0.00110
       19.00000       89.00000        0.00132
       21.00000       89.00000        0.00154
       23.00000       89.00000        0.00175
       25.00000       89.00000        0.00196
       27.00000       89.00000        0.00217
       29.00000       89.00000        0.00237
       31.00000       89.00000        0.00256
       33.00000       89.00000        0.00275
       35.00000       89.00000        0.00294
       37.00000       89.00000        0.00312
       39.00000       89.00000        0.00329
       41.00000       89.00000        0.00346
       43.00000       89.00000        0.00362
       45.00000       89.00000        0.00378
       47.00000       89.00000        0.00393
       49.00000       89.00000        0.00408
       51.00000       89.00000        0.00422
       53.00000       89.00000        0.00435
       55.00000       89.00000        0.00448
       57.00000       89.00000        0.00460
       59.00000       89.00000        0.00471
       61.00000       89.00000        0.00482
       63.00000       89.00000        0.00493
       65.00000       89.00000        0.00502
       67.00000       89.00000        0.00511
       69.00000       89.00000        0.00520
       71.00000       89.00000        0.00528
       73.00000       89.00000        0.00535
       75.00000       89.00000        0.00541
       77.00000       89.00000        0.00547
       79.00000       89.00000        0.00553
       81.00000       89.00000        0.00557
       83.00000       89.00000        0.00561
       85.00000       89.00000        0.00564
       87.00000       89.00000        0.00567
       89.00000       89.00000        0.00569
       91.00000       89.00000        0.00570
       93.00000       89.00000        0.00571
       95.00000       89.00000        0.00571
       97.00000       89.00000        0.00570
       99.00000       89.00000        0.00569
      101.00000       89.00000        0.00567
      103.00000       89.00000        0.00564
      105.00000       89.00000        0.00561
      107.00000       89.00000        0.00557
      109.00000       89.00000        0.00552
      111.00000       89.00000        0.00547
      113.00000       89.00000        0.00541
      115.00000       89.00000        0.00534
      117.00000       89.00000        0.00527
      119.00000       89.00000        0.00519
      121.00000       89.00000        0.00510
      123.00000       89.00000        0.00501
      125.00000       89.00000        0.00491
      127.00000       89.00000        0.00480
      129.00000       89.00000        0.00469
      131.00000       89.00000        0.00457
      133.00000       89.00000        0.00444
      135.00000       89.00000        0.00431
      137.00000       89.00000        0.00417
      139.00000       89.00000        0.00402
      141.00000       89.00000        0.00387
      143.00000       89.00000        0.00371
      145.00000       89.00000        0.00355
      147.00000       89.00000        0.00338
      149.00000       89.00000        0.00320
      151.00000       89.00000        0.00302
      153.00000       89.00000        0.00283
      155.00000       89.00000        0.00263
      157.00000       89.00000        0.00243
      159.00000       89.00000        0.00223
      161.00000       89.00000        0.00202
      163.00000       89.00000        0.00180
      165.00000       89.00000        0.00158
      167.00000       89.00000        0.00136
      169.00000       89.00000        0.00113
      171.00000       89.00000        0.00089
      173.00000       89.00000        0.00065
      175.00000       89.00000        0.00041
      177.00000       89.00000        0.00017
      179.00000       89.00000       -0.00008
      181.00000       89.00000       -0.00033
      183.00000       89.00000       -0.00059
      185.00000       89.00000       -0.00085
      187.00000       89.00000       -0.00111
      189.00000       89.00000       -0.00137
      191.00000       89.00000       -0.00163
      193.00000       89.00000       -0.00189
      195.00000       89.00000       -0.00216
      197.00000       89.00000       -0.00243
      199.00000       89.00000       -0.00269
      201.00000       89.00000       -0.00296
      203.00000       89.00000       -0.00322
      205.00000       89.00000       -0.00348
      207.00000       89.00000       -0.00375
      209.00000       89.00000       -0.00400
      211.00000       89.00000       -0.00426
      213.00000       89.00000       -0.00452
      215.00000       89.00000       -0.00477
      217.00000       89.00000       -0.00502
      219.00000       89.00000       -0.00526
      221.00000       89.00000       -0.00550
      223.00000       89.00000       -0.00573
