 # done by Task#3 of TABOO on 2017.02.06 time=15.50.26
# Time BP (kyrs) =     0.0000
# Load Mass (kg) =    0.000000E+00
# -----------------------------------------------
#      lon (deg)      lat (deg)     d_lat (mm/yr)
# -----------------------------------------------
        1.00000       89.00000       -0.00895
        3.00000       89.00000       -0.00086
        5.00000       89.00000        0.00715
        7.00000       89.00000        0.01506
        9.00000       89.00000        0.02286
       11.00000       89.00000        0.03056
       13.00000       89.00000        0.03814
       15.00000       89.00000        0.04561
       17.00000       89.00000        0.05294
       19.00000       89.00000        0.06015
       21.00000       89.00000        0.06722
       23.00000       89.00000        0.07415
       25.00000       89.00000        0.08094
       27.00000       89.00000        0.08757
       29.00000       89.00000        0.09406
       31.00000       89.00000        0.10039
       33.00000       89.00000        0.10656
       35.00000       89.00000        0.11257
       37.00000       89.00000        0.11841
       39.00000       89.00000        0.12409
       41.00000       89.00000        0.12960
       43.00000       89.00000        0.13493
       45.00000       89.00000        0.14010
       47.00000       89.00000        0.14508
       49.00000       89.00000        0.14989
       51.00000       89.00000        0.15452
       53.00000       89.00000        0.15897
       55.00000       89.00000        0.16323
       57.00000       89.00000        0.16731
       59.00000       89.00000        0.17121
       61.00000       89.00000        0.17491
       63.00000       89.00000        0.17843
       65.00000       89.00000        0.18176
       67.00000       89.00000        0.18490
       69.00000       89.00000        0.18785
       71.00000       89.00000        0.19060
       73.00000       89.00000        0.19316
       75.00000       89.00000        0.19553
       77.00000       89.00000        0.19769
       79.00000       89.00000        0.19966
       81.00000       89.00000        0.20143
       83.00000       89.00000        0.20300
       85.00000       89.00000        0.20437
       87.00000       89.00000        0.20553
       89.00000       89.00000        0.20649
       91.00000       89.00000        0.20725
       93.00000       89.00000        0.20780
       95.00000       89.00000        0.20814
       97.00000       89.00000        0.20827
       99.00000       89.00000        0.20820
      101.00000       89.00000        0.20791
      103.00000       89.00000        0.20742
      105.00000       89.00000        0.20671
      107.00000       89.00000        0.20578
      109.00000       89.00000        0.20464
      111.00000       89.00000        0.20329
      113.00000       89.00000        0.20172
      115.00000       89.00000        0.19993
      117.00000       89.00000        0.19792
      119.00000       89.00000        0.19570
