 # done by Task#3 of TABOO on 2017.02.06 time=16.02.48
# Time BP (kyrs) =     0.0000
# Load Mass (kg) =    0.000000E+00
# -----------------------------------------------
#      lon (deg)      lat (deg)     d_lat (mm/yr)
# -----------------------------------------------
        1.00000       89.00000       -0.01061
        3.00000       89.00000       -0.00221
        5.00000       89.00000        0.00610
        7.00000       89.00000        0.01431
        9.00000       89.00000        0.02241
       11.00000       89.00000        0.03039
       13.00000       89.00000        0.03824
       15.00000       89.00000        0.04597
       17.00000       89.00000        0.05355
       19.00000       89.00000        0.06100
       21.00000       89.00000        0.06830
       23.00000       89.00000        0.07544
       25.00000       89.00000        0.08243
       27.00000       89.00000        0.08926
       29.00000       89.00000        0.09592
       31.00000       89.00000        0.10242
       33.00000       89.00000        0.10874
       35.00000       89.00000        0.11489
       37.00000       89.00000        0.12087
       39.00000       89.00000        0.12666
       41.00000       89.00000        0.13227
       43.00000       89.00000        0.13770
       45.00000       89.00000        0.14295
       47.00000       89.00000        0.14800
       49.00000       89.00000        0.15287
       51.00000       89.00000        0.15754
       53.00000       89.00000        0.16203
       55.00000       89.00000        0.16632
       57.00000       89.00000        0.17042
       59.00000       89.00000        0.17433
       61.00000       89.00000        0.17803
       63.00000       89.00000        0.18155
       65.00000       89.00000        0.18486
       67.00000       89.00000        0.18798
       69.00000       89.00000        0.19090
       71.00000       89.00000        0.19362
       73.00000       89.00000        0.19614
       75.00000       89.00000        0.19846
       77.00000       89.00000        0.20058
       79.00000       89.00000        0.20249
       81.00000       89.00000        0.20421
       83.00000       89.00000        0.20572
       85.00000       89.00000        0.20702
       87.00000       89.00000        0.20812
       89.00000       89.00000        0.20902
       91.00000       89.00000        0.20971
       93.00000       89.00000        0.21019
       95.00000       89.00000        0.21046
       97.00000       89.00000        0.21053
       99.00000       89.00000        0.21038
      101.00000       89.00000        0.21003
      103.00000       89.00000        0.20946
      105.00000       89.00000        0.20868
      107.00000       89.00000        0.20769
      109.00000       89.00000        0.20649
      111.00000       89.00000        0.20507
      113.00000       89.00000        0.20343
      115.00000       89.00000        0.20158
      117.00000       89.00000        0.19951
      119.00000       89.00000        0.19723
      121.00000       89.00000        0.19473
      123.00000       89.00000        0.19200
      125.00000       89.00000        0.18906
      127.00000       89.00000        0.18590
      129.00000       89.00000        0.18252
      131.00000       89.00000        0.17893
      133.00000       89.00000        0.17511
      135.00000       89.00000        0.17107
      137.00000       89.00000        0.16681
      139.00000       89.00000        0.16234
      141.00000       89.00000        0.15765
      143.00000       89.00000        0.15274
      145.00000       89.00000        0.14761
      147.00000       89.00000        0.14227
      149.00000       89.00000        0.13672
      151.00000       89.00000        0.13096
      153.00000       89.00000        0.12499
      155.00000       89.00000        0.11882
      157.00000       89.00000        0.11244
      159.00000       89.00000        0.10586
      161.00000       89.00000        0.09909
      163.00000       89.00000        0.09213
      165.00000       89.00000        0.08498
      167.00000       89.00000        0.07766
      169.00000       89.00000        0.07015
      171.00000       89.00000        0.06247
      173.00000       89.00000        0.05463
      175.00000       89.00000        0.04664
      177.00000       89.00000        0.03849
      179.00000       89.00000        0.03020
      181.00000       89.00000        0.02177
      183.00000       89.00000        0.01322
      185.00000       89.00000        0.00455
      187.00000       89.00000       -0.00422
      189.00000       89.00000       -0.01310
      191.00000       89.00000       -0.02206
      193.00000       89.00000       -0.03110
      195.00000       89.00000       -0.04020
      197.00000       89.00000       -0.04936
      199.00000       89.00000       -0.05855
      201.00000       89.00000       -0.06777
      203.00000       89.00000       -0.07701
      205.00000       89.00000       -0.08625
      207.00000       89.00000       -0.09547
      209.00000       89.00000       -0.10467
      211.00000       89.00000       -0.11382
      213.00000       89.00000       -0.12291
      215.00000       89.00000       -0.13192
      217.00000       89.00000       -0.14085
      219.00000       89.00000       -0.14966
      221.00000       89.00000       -0.15835
      223.00000       89.00000       -0.16690
      225.00000       89.00000       -0.17530
      227.00000       89.00000       -0.18351
      229.00000       89.00000       -0.19154
      231.00000       89.00000       -0.19935
      233.00000       89.00000       -0.20694
      235.00000       89.00000       -0.21429
      237.00000       89.00000       -0.22138
      239.00000       89.00000       -0.22819
      241.00000       89.00000       -0.23471
      243.00000       89.00000       -0.24093
      245.00000       89.00000       -0.24682
      247.00000       89.00000       -0.25239
      249.00000       89.00000       -0.25760
      251.00000       89.00000       -0.26245
      253.00000       89.00000       -0.26693
      255.00000       89.00000       -0.27103
      257.00000       89.00000       -0.27473
      259.00000       89.00000       -0.27803
      261.00000       89.00000       -0.28093
      263.00000       89.00000       -0.28340
      265.00000       89.00000       -0.28545
      267.00000       89.00000       -0.28707
      269.00000       89.00000       -0.28827
      271.00000       89.00000       -0.28903
      273.00000       89.00000       -0.28935
      275.00000       89.00000       -0.28924
      277.00000       89.00000       -0.28870
      279.00000       89.00000       -0.28772
      281.00000       89.00000       -0.28632
      283.00000       89.00000       -0.28449
      285.00000       89.00000       -0.28225
      287.00000       89.00000       -0.27960
      289.00000       89.00000       -0.27655
      291.00000       89.00000       -0.27310
      293.00000       89.00000       -0.26927
      295.00000       89.00000       -0.26507
      297.00000       89.00000       -0.26051
      299.00000       89.00000       -0.25560
