 # done by Task#3 of TABOO on 2017.02.06 time=15.50.26
# Time BP (kyrs) =     0.0000
# Load Mass (kg) =    0.000000E+00
# -----------------------------------------------
#      lon (deg)      lat (deg)     d_lon (mm/yr)
# -----------------------------------------------
        1.00000       89.00000       -0.23646
        3.00000       89.00000       -0.23544
        5.00000       89.00000       -0.23416
        7.00000       89.00000       -0.23262
        9.00000       89.00000       -0.23084
       11.00000       89.00000       -0.22881
       13.00000       89.00000       -0.22655
       15.00000       89.00000       -0.22406
       17.00000       89.00000       -0.22135
       19.00000       89.00000       -0.21842
       21.00000       89.00000       -0.21528
       23.00000       89.00000       -0.21193
       25.00000       89.00000       -0.20839
       27.00000       89.00000       -0.20466
       29.00000       89.00000       -0.20074
       31.00000       89.00000       -0.19664
       33.00000       89.00000       -0.19237
       35.00000       89.00000       -0.18793
       37.00000       89.00000       -0.18333
       39.00000       89.00000       -0.17857
       41.00000       89.00000       -0.17367
       43.00000       89.00000       -0.16862
       45.00000       89.00000       -0.16343
       47.00000       89.00000       -0.15811
       49.00000       89.00000       -0.15266
       51.00000       89.00000       -0.14708
       53.00000       89.00000       -0.14139
       55.00000       89.00000       -0.13559
       57.00000       89.00000       -0.12968
       59.00000       89.00000       -0.12367
       61.00000       89.00000       -0.11755
       63.00000       89.00000       -0.11135
       65.00000       89.00000       -0.10505
       67.00000       89.00000       -0.09868
       69.00000       89.00000       -0.09222
       71.00000       89.00000       -0.08568
       73.00000       89.00000       -0.07908
       75.00000       89.00000       -0.07241
       77.00000       89.00000       -0.06568
       79.00000       89.00000       -0.05889
       81.00000       89.00000       -0.05205
       83.00000       89.00000       -0.04515
       85.00000       89.00000       -0.03822
       87.00000       89.00000       -0.03124
       89.00000       89.00000       -0.02423
       91.00000       89.00000       -0.01719
       93.00000       89.00000       -0.01012
       95.00000       89.00000       -0.00303
       97.00000       89.00000        0.00407
       99.00000       89.00000        0.01119
      101.00000       89.00000        0.01832
      103.00000       89.00000        0.02545
      105.00000       89.00000        0.03258
      107.00000       89.00000        0.03969
      109.00000       89.00000        0.04680
      111.00000       89.00000        0.05389
      113.00000       89.00000        0.06095
      115.00000       89.00000        0.06799
      117.00000       89.00000        0.07499
      119.00000       89.00000        0.08195
      121.00000       89.00000        0.08887
      123.00000       89.00000        0.09573
      125.00000       89.00000        0.10254
      127.00000       89.00000        0.10927
      129.00000       89.00000        0.11594
      131.00000       89.00000        0.12253
      133.00000       89.00000        0.12904
      135.00000       89.00000        0.13545
      137.00000       89.00000        0.14177
      139.00000       89.00000        0.14798
      141.00000       89.00000        0.15407
      143.00000       89.00000        0.16004
      145.00000       89.00000        0.16589
      147.00000       89.00000        0.17160
      149.00000       89.00000        0.17717
      151.00000       89.00000        0.18258
      153.00000       89.00000        0.18783
      155.00000       89.00000        0.19292
      157.00000       89.00000        0.19782
      159.00000       89.00000        0.20255
      161.00000       89.00000        0.20707
      163.00000       89.00000        0.21140
      165.00000       89.00000        0.21552
      167.00000       89.00000        0.21942
      169.00000       89.00000        0.22309
      171.00000       89.00000        0.22653
      173.00000       89.00000        0.22972
      175.00000       89.00000        0.23266
      177.00000       89.00000        0.23535
      179.00000       89.00000        0.23776
      181.00000       89.00000        0.23990
      183.00000       89.00000        0.24176
      185.00000       89.00000        0.24333
      187.00000       89.00000        0.24461
      189.00000       89.00000        0.24557
      191.00000       89.00000        0.24623
      193.00000       89.00000        0.24658
      195.00000       89.00000        0.24660
      197.00000       89.00000        0.24629
      199.00000       89.00000        0.24565
      201.00000       89.00000        0.24467
      203.00000       89.00000        0.24335
      205.00000       89.00000        0.24169
      207.00000       89.00000        0.23968
      209.00000       89.00000        0.23732
      211.00000       89.00000        0.23460
      213.00000       89.00000        0.23153
      215.00000       89.00000        0.22811
      217.00000       89.00000        0.22434
      219.00000       89.00000        0.22021
      221.00000       89.00000        0.21573
      223.00000       89.00000        0.21090
      225.00000       89.00000        0.20573
      227.00000       89.00000        0.20022
      229.00000       89.00000        0.19438
      231.00000       89.00000        0.18821
      233.00000       89.00000        0.18171
      235.00000       89.00000        0.17491
      237.00000       89.00000        0.16780
      239.00000       89.00000        0.16040
      241.00000       89.00000        0.15272
      243.00000       89.00000        0.14476
      245.00000       89.00000        0.13655
      247.00000       89.00000        0.12810
      249.00000       89.00000        0.11942
      251.00000       89.00000        0.11052
      253.00000       89.00000        0.10143
      255.00000       89.00000        0.09216
      257.00000       89.00000        0.08273
      259.00000       89.00000        0.07315
      261.00000       89.00000        0.06344
      263.00000       89.00000        0.05363
      265.00000       89.00000        0.04373
      267.00000       89.00000        0.03376
      269.00000       89.00000        0.02374
      271.00000       89.00000        0.01369
      273.00000       89.00000        0.00363
      275.00000       89.00000       -0.00641
      277.00000       89.00000       -0.01643
      279.00000       89.00000       -0.02639
      281.00000       89.00000       -0.03628
      283.00000       89.00000       -0.04609
      285.00000       89.00000       -0.05579
      287.00000       89.00000       -0.06536
      289.00000       89.00000       -0.07479
      291.00000       89.00000       -0.08406
      293.00000       89.00000       -0.09315
      295.00000       89.00000       -0.10206
      297.00000       89.00000       -0.11075
      299.00000       89.00000       -0.11923
      301.00000       89.00000       -0.12748
      303.00000       89.00000       -0.13548
      305.00000       89.00000       -0.14322
      307.00000       89.00000       -0.15069
      309.00000       89.00000       -0.15789
      311.00000       89.00000       -0.16481
      313.00000       89.00000       -0.17143
      315.00000       89.00000       -0.17775
      317.00000       89.00000       -0.18377
      319.00000       89.00000       -0.18948
      321.00000       89.00000       -0.19487
      323.00000       89.00000       -0.19995
      325.00000       89.00000       -0.20471
      327.00000       89.00000       -0.20914
      329.00000       89.00000       -0.21325
      331.00000       89.00000       -0.21704
      333.00000       89.00000       -0.22050
      335.00000       89.00000       -0.22365
      337.00000       89.00000       -0.22647
      339.00000       89.00000       -0.22897
      341.00000       89.00000       -0.23116
      343.00000       89.00000       -0.23303
      345.00000       89.00000       -0.23459
      347.00000       89.00000       -0.23585
      349.00000       89.00000       -0.23681
      351.00000       89.00000       -0.23746
      353.00000       89.00000       -0.23783
      355.00000       89.00000       -0.23790
      357.00000       89.00000       -0.23770
      359.00000       89.00000       -0.23721
        1.00000       87.00000       -0.22619
        3.00000       87.00000       -0.22262
        5.00000       87.00000       -0.21893
        7.00000       87.00000       -0.21513
        9.00000       87.00000       -0.21123
       11.00000       87.00000       -0.20723
       13.00000       87.00000       -0.20315
       15.00000       87.00000       -0.19900
       17.00000       87.00000       -0.19478
       19.00000       87.00000       -0.19051
       21.00000       87.00000       -0.18619
       23.00000       87.00000       -0.18183
       25.00000       87.00000       -0.17744
       27.00000       87.00000       -0.17303
       29.00000       87.00000       -0.16858
       31.00000       87.00000       -0.16412
       33.00000       87.00000       -0.15964
       35.00000       87.00000       -0.15514
       37.00000       87.00000       -0.15063
       39.00000       87.00000       -0.14610
       41.00000       87.00000       -0.14155
       43.00000       87.00000       -0.13699
       45.00000       87.00000       -0.13240
       47.00000       87.00000       -0.12780
       49.00000       87.00000       -0.12317
       51.00000       87.00000       -0.11852
       53.00000       87.00000       -0.11385
       55.00000       87.00000       -0.10916
       57.00000       87.00000       -0.10444
       59.00000       87.00000       -0.09969
       61.00000       87.00000       -0.09492
       63.00000       87.00000       -0.09012
       65.00000       87.00000       -0.08530
       67.00000       87.00000       -0.08044
       69.00000       87.00000       -0.07556
       71.00000       87.00000       -0.07065
       73.00000       87.00000       -0.06571
       75.00000       87.00000       -0.06074
       77.00000       87.00000       -0.05574
       79.00000       87.00000       -0.05071
       81.00000       87.00000       -0.04564
       83.00000       87.00000       -0.04055
       85.00000       87.00000       -0.03542
       87.00000       87.00000       -0.03025
       89.00000       87.00000       -0.02505
       91.00000       87.00000       -0.01982
       93.00000       87.00000       -0.01455
       95.00000       87.00000       -0.00924
       97.00000       87.00000       -0.00390
       99.00000       87.00000        0.00147
      101.00000       87.00000        0.00689
      103.00000       87.00000        0.01233
      105.00000       87.00000        0.01782
      107.00000       87.00000        0.02333
      109.00000       87.00000        0.02889
      111.00000       87.00000        0.03447
      113.00000       87.00000        0.04009
      115.00000       87.00000        0.04574
      117.00000       87.00000        0.05142
      119.00000       87.00000        0.05713
      121.00000       87.00000        0.06288
      123.00000       87.00000        0.06865
      125.00000       87.00000        0.07445
      127.00000       87.00000        0.08028
      129.00000       87.00000        0.08613
      131.00000       87.00000        0.09202
      133.00000       87.00000        0.09792
      135.00000       87.00000        0.10385
      137.00000       87.00000        0.10981
      139.00000       87.00000        0.11578
      141.00000       87.00000        0.12177
      143.00000       87.00000        0.12778
      145.00000       87.00000        0.13380
      147.00000       87.00000        0.13983
      149.00000       87.00000        0.14587
      151.00000       87.00000        0.15191
      153.00000       87.00000        0.15794
      155.00000       87.00000        0.16396
      157.00000       87.00000        0.16997
      159.00000       87.00000        0.17594
      161.00000       87.00000        0.18188
      163.00000       87.00000        0.18777
      165.00000       87.00000        0.19359
      167.00000       87.00000        0.19934
      169.00000       87.00000        0.20501
      171.00000       87.00000        0.21057
      173.00000       87.00000        0.21603
      175.00000       87.00000        0.22135
      177.00000       87.00000        0.22654
      179.00000       87.00000        0.23158
      181.00000       87.00000        0.23645
      183.00000       87.00000        0.24115
      185.00000       87.00000        0.24567
      187.00000       87.00000        0.24999
      189.00000       87.00000        0.25410
      191.00000       87.00000        0.25798
      193.00000       87.00000        0.26162
      195.00000       87.00000        0.26501
      197.00000       87.00000        0.26812
      199.00000       87.00000        0.27094
      201.00000       87.00000        0.27343
      203.00000       87.00000        0.27558
      205.00000       87.00000        0.27735
      207.00000       87.00000        0.27872
      209.00000       87.00000        0.27966
      211.00000       87.00000        0.28014
      213.00000       87.00000        0.28011
      215.00000       87.00000        0.27957
      217.00000       87.00000        0.27846
      219.00000       87.00000        0.27678
      221.00000       87.00000        0.27448
      223.00000       87.00000        0.27154
      225.00000       87.00000        0.26795
      227.00000       87.00000        0.26367
      229.00000       87.00000        0.25870
      231.00000       87.00000        0.25302
      233.00000       87.00000        0.24663
      235.00000       87.00000        0.23950
      237.00000       87.00000        0.23165
      239.00000       87.00000        0.22308
      241.00000       87.00000        0.21379
      243.00000       87.00000        0.20380
      245.00000       87.00000        0.19312
      247.00000       87.00000        0.18177
      249.00000       87.00000        0.16979
      251.00000       87.00000        0.15720
      253.00000       87.00000        0.14404
      255.00000       87.00000        0.13037
      257.00000       87.00000        0.11621
      259.00000       87.00000        0.10164
      261.00000       87.00000        0.08670
      263.00000       87.00000        0.07145
      265.00000       87.00000        0.05596
      267.00000       87.00000        0.04029
      269.00000       87.00000        0.02451
      271.00000       87.00000        0.00868
      273.00000       87.00000       -0.00711
      275.00000       87.00000       -0.02281
      277.00000       87.00000       -0.03835
      279.00000       87.00000       -0.05367
      281.00000       87.00000       -0.06869
      283.00000       87.00000       -0.08336
      285.00000       87.00000       -0.09763
      287.00000       87.00000       -0.11144
      289.00000       87.00000       -0.12475
      291.00000       87.00000       -0.13751
      293.00000       87.00000       -0.14968
      295.00000       87.00000       -0.16124
      297.00000       87.00000       -0.17216
      299.00000       87.00000       -0.18241
      301.00000       87.00000       -0.19198
      303.00000       87.00000       -0.20087
      305.00000       87.00000       -0.20906
      307.00000       87.00000       -0.21655
      309.00000       87.00000       -0.22335
