 # done by Task#3 of TABOO on 2017.02.06 time=16.02.48
# Time BP (kyrs) =     0.0000
# Load Mass (kg) =    0.000000E+00
# -----------------------------------------------
#      lon (deg)      lat (deg)     d_lon (mm/yr)
# -----------------------------------------------
        1.00000       89.00000       -0.24404
        3.00000       89.00000       -0.24293
        5.00000       89.00000       -0.24155
        7.00000       89.00000       -0.23990
        9.00000       89.00000       -0.23798
       11.00000       89.00000       -0.23582
       13.00000       89.00000       -0.23340
       15.00000       89.00000       -0.23075
       17.00000       89.00000       -0.22786
       19.00000       89.00000       -0.22475
       21.00000       89.00000       -0.22141
       23.00000       89.00000       -0.21787
       25.00000       89.00000       -0.21412
       27.00000       89.00000       -0.21017
       29.00000       89.00000       -0.20604
       31.00000       89.00000       -0.20171
       33.00000       89.00000       -0.19722
       35.00000       89.00000       -0.19255
       37.00000       89.00000       -0.18772
       39.00000       89.00000       -0.18273
       41.00000       89.00000       -0.17759
       43.00000       89.00000       -0.17231
       45.00000       89.00000       -0.16688
       47.00000       89.00000       -0.16133
       49.00000       89.00000       -0.15565
       51.00000       89.00000       -0.14985
       53.00000       89.00000       -0.14393
       55.00000       89.00000       -0.13791
       57.00000       89.00000       -0.13178
       59.00000       89.00000       -0.12555
       61.00000       89.00000       -0.11923
       63.00000       89.00000       -0.11282
       65.00000       89.00000       -0.10633
       67.00000       89.00000       -0.09975
       69.00000       89.00000       -0.09311
       71.00000       89.00000       -0.08639
       73.00000       89.00000       -0.07961
       75.00000       89.00000       -0.07277
       77.00000       89.00000       -0.06587
       79.00000       89.00000       -0.05893
       81.00000       89.00000       -0.05193
       83.00000       89.00000       -0.04489
       85.00000       89.00000       -0.03782
       87.00000       89.00000       -0.03071
       89.00000       89.00000       -0.02357
       91.00000       89.00000       -0.01640
       93.00000       89.00000       -0.00921
       95.00000       89.00000       -0.00201
       97.00000       89.00000        0.00520
       99.00000       89.00000        0.01243
      101.00000       89.00000        0.01965
      103.00000       89.00000        0.02688
      105.00000       89.00000        0.03410
      107.00000       89.00000        0.04130
      109.00000       89.00000        0.04850
      111.00000       89.00000        0.05567
      113.00000       89.00000        0.06281
      115.00000       89.00000        0.06993
      117.00000       89.00000        0.07700
      119.00000       89.00000        0.08404
      121.00000       89.00000        0.09103
      123.00000       89.00000        0.09796
      125.00000       89.00000        0.10484
      127.00000       89.00000        0.11165
      129.00000       89.00000        0.11839
      131.00000       89.00000        0.12505
      133.00000       89.00000        0.13163
      135.00000       89.00000        0.13812
      137.00000       89.00000        0.14451
      139.00000       89.00000        0.15079
      141.00000       89.00000        0.15696
      143.00000       89.00000        0.16301
      145.00000       89.00000        0.16893
      147.00000       89.00000        0.17472
      149.00000       89.00000        0.18037
      151.00000       89.00000        0.18587
      153.00000       89.00000        0.19120
      155.00000       89.00000        0.19637
      157.00000       89.00000        0.20137
      159.00000       89.00000        0.20618
      161.00000       89.00000        0.21080
      163.00000       89.00000        0.21522
      165.00000       89.00000        0.21943
      167.00000       89.00000        0.22342
      169.00000       89.00000        0.22719
      171.00000       89.00000        0.23072
      173.00000       89.00000        0.23401
      175.00000       89.00000        0.23705
      177.00000       89.00000        0.23983
      179.00000       89.00000        0.24234
      181.00000       89.00000        0.24458
      183.00000       89.00000        0.24653
      185.00000       89.00000        0.24820
      187.00000       89.00000        0.24956
      189.00000       89.00000        0.25062
      191.00000       89.00000        0.25137
      193.00000       89.00000        0.25180
      195.00000       89.00000        0.25190
      197.00000       89.00000        0.25167
      199.00000       89.00000        0.25111
      201.00000       89.00000        0.25020
      203.00000       89.00000        0.24895
      205.00000       89.00000        0.24735
      207.00000       89.00000        0.24539
      209.00000       89.00000        0.24308
      211.00000       89.00000        0.24041
      213.00000       89.00000        0.23737
      215.00000       89.00000        0.23398
      217.00000       89.00000        0.23022
      219.00000       89.00000        0.22611
      221.00000       89.00000        0.22163
      223.00000       89.00000        0.21680
      225.00000       89.00000        0.21161
      227.00000       89.00000        0.20607
      229.00000       89.00000        0.20018
      231.00000       89.00000        0.19396
      233.00000       89.00000        0.18741
      235.00000       89.00000        0.18053
      237.00000       89.00000        0.17333
      239.00000       89.00000        0.16583
      241.00000       89.00000        0.15804
      243.00000       89.00000        0.14996
      245.00000       89.00000        0.14162
      247.00000       89.00000        0.13301
      249.00000       89.00000        0.12417
      251.00000       89.00000        0.11510
      253.00000       89.00000        0.10582
      255.00000       89.00000        0.09634
      257.00000       89.00000        0.08669
      259.00000       89.00000        0.07689
      261.00000       89.00000        0.06694
      263.00000       89.00000        0.05688
      265.00000       89.00000        0.04672
      267.00000       89.00000        0.03647
      269.00000       89.00000        0.02617
      271.00000       89.00000        0.01583
