 # done by Task#3 of TABOO on 2017.02.06 time=16.02.48
# Time BP (kyrs) =     0.0000
# Load Mass (kg) =    0.000000E+00
# -----------------------------------------------
#      lon (deg)      lat (deg)     d_rad (mm/yr)
# -----------------------------------------------
        1.00000       89.00000        0.04792
        3.00000       89.00000        0.05053
        5.00000       89.00000        0.05309
        7.00000       89.00000        0.05561
        9.00000       89.00000        0.05809
       11.00000       89.00000        0.06052
       13.00000       89.00000        0.06289
       15.00000       89.00000        0.06522
       17.00000       89.00000        0.06749
       19.00000       89.00000        0.06971
       21.00000       89.00000        0.07187
       23.00000       89.00000        0.07397
       25.00000       89.00000        0.07601
       27.00000       89.00000        0.07800
       29.00000       89.00000        0.07992
       31.00000       89.00000        0.08179
       33.00000       89.00000        0.08359
       35.00000       89.00000        0.08533
       37.00000       89.00000        0.08701
       39.00000       89.00000        0.08863
       41.00000       89.00000        0.09019
       43.00000       89.00000        0.09168
       45.00000       89.00000        0.09311
       47.00000       89.00000        0.09448
       49.00000       89.00000        0.09579
       51.00000       89.00000        0.09704
       53.00000       89.00000        0.09823
       55.00000       89.00000        0.09936
       57.00000       89.00000        0.10043
       59.00000       89.00000        0.10144
       61.00000       89.00000        0.10240
       63.00000       89.00000        0.10329
       65.00000       89.00000        0.10413
       67.00000       89.00000        0.10491
       69.00000       89.00000        0.10564
       71.00000       89.00000        0.10630
       73.00000       89.00000        0.10692
       75.00000       89.00000        0.10748
       77.00000       89.00000        0.10798
       79.00000       89.00000        0.10843
       81.00000       89.00000        0.10883
       83.00000       89.00000        0.10918
       85.00000       89.00000        0.10947
       87.00000       89.00000        0.10971
       89.00000       89.00000        0.10989
       91.00000       89.00000        0.11003
       93.00000       89.00000        0.11011
       95.00000       89.00000        0.11014
       97.00000       89.00000        0.11011
       99.00000       89.00000        0.11004
      101.00000       89.00000        0.10991
      103.00000       89.00000        0.10973
      105.00000       89.00000        0.10949
      107.00000       89.00000        0.10920
      109.00000       89.00000        0.10886
      111.00000       89.00000        0.10847
      113.00000       89.00000        0.10802
      115.00000       89.00000        0.10751
      117.00000       89.00000        0.10695
      119.00000       89.00000        0.10634
      121.00000       89.00000        0.10567
      123.00000       89.00000        0.10494
      125.00000       89.00000        0.10415
      127.00000       89.00000        0.10330
      129.00000       89.00000        0.10240
      131.00000       89.00000        0.10144
      133.00000       89.00000        0.10041
      135.00000       89.00000        0.09933
      137.00000       89.00000        0.09818
      139.00000       89.00000        0.09698
      141.00000       89.00000        0.09571
      143.00000       89.00000        0.09437
      145.00000       89.00000        0.09298
      147.00000       89.00000        0.09152
      149.00000       89.00000        0.09000
      151.00000       89.00000        0.08841
      153.00000       89.00000        0.08676
      155.00000       89.00000        0.08505
      157.00000       89.00000        0.08327
      159.00000       89.00000        0.08143
