 ########################################
 #     RECTANGULAR load of type 50       
 #   degree,  order, & load (kg/m**2)    
   0    0 0.33764923E+03 0.00000000E+00
   2    0 0.10042470E+04 0.00000000E+00
   2    1 0.59824395E+02 -.68379596E+03
   2    2 -.86350766E+02 -.15225970E+02
   3    0 0.67994284E+03 0.00000000E+00
   3    1 0.63928995E+02 -.73071175E+03
   3    2 -.10118580E+03 -.17841787E+02
   3    3 -.19579685E+01 0.73072381E+01
   4    0 0.20527972E+01 0.00000000E+00
   4    1 0.55026908E+02 -.62896043E+03
   4    2 -.10154012E+03 -.17904263E+02
   4    3 -.20899615E+01 0.77998426E+01
   4    4 0.31406269E+00 0.11430947E+00
   5    0 -.77487737E+03 0.00000000E+00
   5    1 0.36686706E+02 -.41933097E+03
   5    2 -.89204592E+02 -.15729176E+02
   5    3 -.20082576E+01 0.74949195E+01
   5    4 0.31638752E+00 0.11515564E+00
   5    5 0.10495615E-02 -.22507918E-02
   6    0 -.13568299E+04 0.00000000E+00
   6    1 0.14561591E+02 -.16643975E+03
   6    2 -.68214639E+02 -.12028081E+02
   6    3 -.17546732E+01 0.65485296E+01
   6    4 0.29456707E+00 0.10721364E+00
   6    5 0.10159326E-02 -.21786745E-02
   6    6 0.57596370E-03 0.33253280E-03
   7    0 -.15282166E+04 0.00000000E+00
   7    1 -.54180220E+01 0.61928275E+02
   7    2 -.43711671E+02 -.77075469E+01
   7    3 -.13920990E+01 0.51953842E+01
   7    4 0.25474122E+00 0.92718221E-01
   7    5 0.92339475E-03 -.19802264E-02
   7    6 0.54132607E-03 0.31253475E-03
   7    7 0.28127930E-04 -.40170847E-04
   8    0 -.12348876E+04 0.00000000E+00
   8    1 -.18776484E+02 0.21461619E+03
   8    2 -.20654641E+02 -.36419705E+01
   8    3 -.99031271E+00 0.36958973E+01
   8    4 0.20449671E+00 0.74430717E-01
   8    5 0.79018336E-03 -.16945537E-02
   8    6 0.48280070E-03 0.27874511E-03
   8    7 0.25842542E-04 -.36906974E-04
   8    8 -.14720873E-05 -.12352279E-05
   9    0 -.59917693E+03 0.00000000E+00
   9    1 -.23600974E+02 0.26976037E+03
   9    2 -.27333009E+01 -.48195469E+00
   9    3 -.61213625E+00 0.22845236E+01
   9    4 0.15148021E+00 0.55134286E-01
   9    5 0.63627187E-03 -.13644894E-02
   9    6 0.40919201E-03 0.23624712E-03
   9    7 0.22699851E-04 -.32418747E-04
   9    8 -.13282289E-05 -.11145164E-05
   9    9 -.31608024E-07 0.31608024E-07
  10    0 0.13682950E+03 0.00000000E+00
  10    1 -.20726049E+02 0.23689982E+03
  10    2 0.82531584E+01 0.14552545E+01
  10    3 -.30298024E+00 0.11307376E+01
  10    4 0.10218991E+00 0.37194084E-01
  10    5 0.48038800E-03 -.10301954E-02
  10    6 0.32936433E-03 0.19015858E-03
  10    7 0.19076465E-04 -.27244015E-04
  10    8 -.11521753E-05 -.96678991E-06
  10    9 -.28101089E-07 0.28101089E-07
  10   10 0.20753865E-09 0.24733493E-09
  11    0 0.71354155E+03 0.00000000E+00
  11    1 -.13030593E+02 0.14894036E+03
  11    2 0.12445778E+02 0.21945265E+01
  11    3 -.85676465E-01 0.31974892E+00
  11    4 0.61157552E-01 0.22259529E-01
  11    5 0.33765988E-03 -.72411394E-03
  11    6 0.25115814E-03 0.14500622E-03
  11    7 0.15327886E-04 -.21890490E-04
  11    8 -.96113842E-06 -.80649090E-06
  11    9 -.24122566E-07 0.24122566E-07
  11   10 0.18225846E-09 0.21720717E-09
  11   11 -.17337770E-10 0.12140037E-10
  12    0 0.95730314E+03 0.00000000E+00
  12    1 -.41807421E+01 0.47786101E+02
  12    2 0.11471109E+02 0.20226661E+01
  12    3 0.39009420E-01 -.14558514E+00
  12    4 0.30624207E-01 0.11146300E-01
  12    5 0.21821015E-03 -.46795317E-03
